item_id,order_id,product_id,quantity,unit_price,line_total
I000051,O000033,P0298,1,15.01,15.01
I000052,O000034,P0310,1,49.86,49.86
I000053,O000034,P0167,1,120.95,120.95
I000054,O000034,P0458,1,62.51,62.51
I000055,O000034,P0394,1,29.77,29.77
I000056,O000035,P0106,1,37.93,37.93
I000057,O000036,P0073,1,126.73,126.73
I000058,O000037,P0321,1,897.8,897.8
I000059,O000037,P0190,2,56.99,113.98
I000060,O000038,P0220,1,74.78,74.78
I000061,O000039,P0027,2,30.61,61.22
I000062,O000040,P0253,1,321.86,321.86
I000063,O000041,P0284,1,1290.67,1290.67
I000064,O000042,P0003,3,151.43,454.29
I000065,O000042,P0440,2,355.55,711.1
I000066,O000043,P0005,1,44.24,44.24
I000067,O000044,P0050,1,581.6,581.6
I000068,O000044,P0131,1,73.03,73.03
I000069,O000044,P0226,1,23.9,23.9
I000070,O000045,P0104,2,20.15,40.3
I000071,O000046,P0223,1,88.13,88.13
I000072,O000047,P0414,2,80.78,161.56
I000073,O000048,P0476,1,55.12,55.12
I000074,O000048,P0214,1,135.66,135.66
I000075,O000049,P0394,1,29.77,29.77
I000076,O000050,P0087,1,1480.59,1480.59
I000077,O000051,P0398,1,209.5,209.5
I000078,O000052,P0177,1,375.35,375.35
I000079,O000053,P0236,1,55.17,55.17
I000080,O000054,P0205,1,248.7,248.7
I000081,O000055,P0128,1,13.6,13.6
I000082,O000055,P0462,1,1024.65,1024.65
I000083,O000056,P0238,1,413.11,413.11
I000084,O000056,P0109,1,378.8,378.8
I000085,O000057,P0337,2,992.93,1985.86
I000086,O000057,P0013,1,58.05,58.05
I000087,O000058,P0481,1,31.21,31.21
I000088,O000058,P0087,1,1480.59,1480.59
I000089,O000058,P0227,1,311.57,311.57
I000090,O000058,P0191,1,41.26,41.26
I000091,O000059,P0363,1,289.69,289.69
I000092,O000060,P0493,3,301.89,905.67
I000093,O000061,P0441,3,186.95,560.85
I000094,O000061,P0248,3,32.77,98.31
I000095,O000062,P0121,1,407.26,407.26
I000096,O000062,P0061,1,196.53,196.53
I000097,O000063,P0268,1,339.84,339.84
I000098,O000064,P0154,1,913.08,913.08
I000099,O000064,P0042,1,257.76,257.76
I000100,O000065,P0465,1,52.79,52.79
I000101,O000066,P0262,1,276.61,276.61
I000102,O000066,P0357,1,91.59,91.59
I000103,O000067,P0260,1,123.1,123.1
I000104,O000068,P0485,3,161.66,484.98
I000105,O000069,P0121,1,407.26,407.26
I000106,O000070,P0383,1,20.7,20.7
I000107,O000070,P0353,1,53.77,53.77
I000108,O000071,P0119,1,90.85,90.85
I000109,O000072,P0302,1,245.88,245.88
I000110,O000072,P0082,1,181.24,181.24
I000111,O000073,P0390,1,333.06,333.06
I000112,O000073,P0476,1,55.12,55.12
I000113,O000073,P0444,1,96.0,96.0
I000114,O000073,P0168,1,56.07,56.07
I000115,O000074,P0036,1,398.09,398.09
I000116,O000074,P0491,1,51.48,51.48
I000117,O000074,P0096,3,55.81,167.43
I000118,O000075,P0241,1,372.13,372.13
I000119,O000075,P0144,1,98.03,98.03
I000120,O000075,P0160,1,118.55,118.55
I000121,O000076,P0168,1,56.07,56.07
I000122,O000076,P0125,1,224.33,224.33
I000123,O000077,P0208,1,10.21,10.21
I000124,O000078,P0328,1,483.42,483.42
I000125,O000079,P0354,1,298.86,298.86
I000126,O000079,P0031,2,466.07,932.14
I000127,O000079,P0172,1,60.25,60.25
I000128,O000080,P0291,2,458.94,917.88
I000129,O000081,P0117,1,500.73,500.73
I000130,O000081,P0485,1,161.66,161.66
I000131,O000081,P0172,1,60.25,60.25
I000132,O000082,P0092,1,106.86,106.86
I000133,O000083,P0256,1,309.47,309.47
I000134,O000083,P0163,1,117.52,117.52
I000135,O000083,P0424,2,160.18,320.36
I000136,O000084,P0047,1,749.76,749.76
I000137,O000085,P0035,1,1226.6,1226.6
I000138,O000086,P0292,1,152.64,152.64
I000139,O000087,P0223,1,88.13,88.13
I000140,O000088,P0371,1,154.13,154.13
I000141,O000088,P0163,1,117.52,117.52
I000142,O000088,P0058,1,450.14,450.14
I000143,O000088,P0105,1,286.77,286.77
I000144,O000089,P0131,1,73.03,73.03
I000145,O000090,P0273,1,164.11,164.11
I000146,O000091,P0400,2,483.24,966.48
I000147,O000091,P0319,1,140.12,140.12
I000148,O000092,P0450,1,239.93,239.93
I000149,O000092,P0161,1,273.12,273.12
I000150,O000093,P0323,3,787.48,2362.44
I000151,O000093,P0395,1,71.75,71.75
I000152,O000093,P0212,1,376.73,376.73
I000153,O000094,P0387,1,1239.47,1239.47
I000154,O000095,P0258,1,364.25,364.25
I000155,O000096,P0160,2,118.55,237.1
I000156,O000097,P0500,1,156.8,156.8
I000157,O000098,P0380,1,37.11,37.11
I000158,O000098,P0231,3,947.9,2843.7
I000159,O000099,P0364,1,203.91,203.91
I000160,O000099,P0362,1,48.59,48.59
I000161,O000099,P0060,1,330.99,330.99
I000162,O000100,P0026,1,146.77,146.77
I000163,O000101,P0088,1,18.99,18.99
I000164,O000101,P0058,1,476.8,476.8
I000165,O000101,P0387,1,1337.0,1337.0
I000166,O000101,P0422,1,149.73,149.73
I000167,O000102,P0017,2,48.04,96.08
I000168,O000102,P0395,1,71.75,71.75
I000169,O000102,P0334,2,175.34,350.68
I000170,O000103,P0420,1,269.92,269.92
I000171,O000103,P0112,2,457.9,915.8
I000172,O000104,P0287,1,149.31,149.31
I000173,O000104,P0374,1,240.7,240.7
I000174,O000104,P0448,1,110.82,110.82
I000175,O000105,P0242,1,1421.2,1421.2
I000176,O000105,P0129,1,192.56,192.56
I000177,O000106,P0499,1,57.29,57.29
I000178,O000107,P0361,1,231.84,231.84
I000179,O000107,P0266,2,379.79,759.58
I000180,O000108,P0090,1,253.19,253.19
I000181,O000109,P0138,2,206.37,412.74
I000182,O000109,P0175,1,31.14,31.14
I000183,O000110,P0302,1,245.88,245.88
I000184,O000110,P0235,1,473.2,473.2
I000185,O000111,P0396,1,102.12,102.12
I000186,O000111,P0108,1,31.62,31.62
I000187,O000111,P0164,1,87.77,87.77
I000188,O000111,P0123,1,197.26,197.26
I000189,O000112,P0251,1,468.13,468.13
I000190,O000112,P0317,1,121.46,121.46
I000191,O000112,P0221,1,241.42,241.42
I000192,O000113,P0473,1,141.14,141.14
I000193,O000113,P0069,1,444.24,444.24
I000194,O000114,P0364,1,203.91,203.91
I000195,O000114,P0462,1,958.47,958.47
I000196,O000114,P0100,3,24.68,74.04
I000197,O000115,P0197,1,11.97,11.97
I000198,O000116,P0398,3,209.5,628.5
I000199,O000116,P0213,1,206.84,206.84
I000200,O000117,P0070,1,49.81,49.81
I000201,O000117,P0104,1,20.15,20.15
I000202,O000118,P0165,1,1528.32,1528.32
I000203,O000118,P0220,2,74.78,149.56
I000204,O000118,P0470,2,183.92,367.84
I000205,O000119,P0265,1,1040.34,1040.34
I000206,O000119,P0150,1,51.94,51.94
I000207,O000119,P0050,1,581.6,581.6
I000208,O000120,P0107,3,380.59,1141.77
I000209,O000121,P0369,1,272.64,272.64
I000210,O000122,P0137,1,26.78,26.78
I000211,O000123,P0112,1,457.9,457.9
I000212,O000124,P0327,1,256.64,256.64
I000213,O000125,P0174,1,187.75,187.75
I000214,O000126,P0351,1,1371.76,1371.76
I000215,O000127,P0334,1,175.34,175.34
I000216,O000127,P0449,1,156.11,156.11
I000217,O000127,P0186,1,40.04,40.04
I000218,O000128,P0002,1,34.83,34.83
I000219,O000129,P0017,1,48.04,48.04
I000220,O000129,P0458,1,62.51,62.51
I000221,O000129,P0451,1,50.74,50.74
I000222,O000130,P0444,3,96.0,288.0
I000223,O000131,P0132,1,195.2,195.2
I000224,O000132,P0373,1,498.92,498.92
I000225,O000132,P0418,1,145.69,145.69
I000226,O000132,P0318,1,546.11,546.11
I000227,O000133,P0386,1,143.7,143.7
I000228,O000133,P0245,1,32.25,32.25
I000229,O000133,P0480,1,324.37,324.37
I000230,O000134,P0323,2,787.48,1574.96
I000231,O000134,P0255,1,1081.13,1081.13
I000232,O000134,P0327,1,256.64,256.64
I000233,O000135,P0297,1,756.22,756.22
I000234,O000135,P0333,2,1297.6,2595.2
I000235,O000136,P0170,1,158.2,158.2
I000236,O000136,P0497,2,49.96,99.92
I000237,O000136,P0201,1,785.59,785.59
I000238,O000136,P0117,1,500.73,500.73
I000239,O000137,P0121,1,407.26,407.26
I000240,O000138,P0154,1,860.24,860.24
I000241,O000138,P0344,1,11.12,11.12
I000242,O000139,P0083,1,177.96,177.96
I000243,O000140,P0285,1,150.31,150.31
I000244,O000140,P0191,1,41.26,41.26
I000245,O000140,P0411,1,72.69,72.69
I000246,O000140,P0417,1,158.45,158.45
I000247,O000141,P0065,1,29.8,29.8
I000248,O000141,P0095,1,32.73,32.73
I000249,O000142,P0010,1,164.31,164.31
I000250,O000142,P0070,1,49.81,49.81
I000251,O000143,P0036,1,398.09,398.09
I000252,O000144,P0080,1,130.19,130.19
I000253,O000145,P0428,1,484.96,484.96
I000254,O000146,P0494,1,141.91,141.91
I000255,O000146,P0056,2,16.17,32.34
I000256,O000147,P0375,1,289.82,289.82
I000257,O000148,P0086,1,161.4,161.4
I000258,O000148,P0473,1,141.14,141.14
I000259,O000149,P0206,1,172.28,172.28
I000260,O000150,P0060,1,330.99,330.99
I000261,O000150,P0358,1,137.53,137.53
I000262,O000150,P0140,1,271.26,271.26
I000263,O000151,P0433,1,18.48,18.48
I000264,O000152,P0209,1,392.53,392.53
I000265,O000152,P0220,1,74.78,74.78
I000266,O000153,P0067,1,300.53,300.53
I000267,O000153,P0280,3,71.06,213.18
I000268,O000153,P0288,1,62.15,62.15
I000269,O000154,P0383,1,20.7,20.7
I000270,O000154,P0037,1,82.46,82.46
I000271,O000154,P0272,1,29.33,29.33
I000272,O000155,P0096,1,55.81,55.81
I000273,O000155,P0391,1,49.62,49.62
I000274,O000156,P0480,2,324.37,648.74
I000275,O000157,P0387,1,1239.47,1239.47
I000276,O000158,P0324,1,61.61,61.61
I000277,O000158,P0379,1,58.46,58.46
I000278,O000159,P0396,1,102.12,102.12
I000279,O000160,P0390,2,333.06,666.12
I000280,O000160,P0480,1,324.37,324.37
I000281,O000161,P0305,2,252.76,505.52
I000282,O000161,P0283,1,50.52,50.52
I000283,O000162,P0197,1,11.97,11.97
I000284,O000163,P0004,1,159.82,159.82
I000285,O000163,P0123,3,197.26,591.78
I000286,O000164,P0272,1,29.33,29.33
I000287,O000165,P0300,2,61.13,122.26
I000288,O000165,P0191,1,41.26,41.26
I000289,O000166,P0121,1,407.26,407.26
I000290,O000166,P0269,1,109.4,109.4
I000291,O000167,P0178,1,54.59,54.59
I000292,O000167,P0497,1,49.96,49.96
I000293,O000168,P0190,1,56.99,56.99
I000294,O000169,P0274,1,57.38,57.38
I000295,O000169,P0320,1,303.05,303.05
I000296,O000170,P0132,2,195.2,390.4
I000297,O000170,P0315,2,546.96,1093.92
I000298,O000170,P0226,1,23.9,23.9
I000299,O000171,P0007,1,182.15,182.15
I000300,O000171,P0358,1,137.53,137.53
I000301,O000172,P0124,2,219.12,438.24
I000302,O000172,P0023,2,60.27,120.54
I000303,O000172,P0288,2,62.15,124.3
I000304,O000172,P0495,1,273.23,273.23
I000305,O000173,P0377,1,200.5,200.5
I000306,O000174,P0485,1,161.66,161.66
I000307,O000174,P0074,1,75.58,75.58
I000308,O000174,P0296,1,30.2,30.2
I000309,O000175,P0142,1,151.05,151.05
I000310,O000176,P0245,1,32.25,32.25
I000311,O000176,P0012,1,677.23,677.23
I000312,O000177,P0249,1,18.94,18.94
I000313,O000177,P0072,1,792.42,792.42
I000314,O000178,P0147,3,172.12,516.36
I000315,O000178,P0480,1,324.37,324.37
I000316,O000179,P0347,1,420.23,420.23
I000317,O000180,P0434,1,150.29,150.29
I000318,O000181,P0177,1,375.35,375.35
I000319,O000182,P0386,1,143.7,143.7
I000320,O000183,P0287,1,149.31,149.31
I000321,O000184,P0452,1,28.98,28.98
I000322,O000185,P0442,2,381.56,763.12
I000323,O000185,P0147,1,172.12,172.12
I000324,O000185,P0217,2,297.79,595.58
I000325,O000186,P0416,1,113.67,113.67
I000326,O000186,P0422,1,149.73,149.73
I000327,O000186,P0208,1,10.21,10.21
I000328,O000187,P0021,1,225.3,225.3
I000329,O000188,P0282,1,181.0,181.0
I000330,O000189,P0399,2,857.69,1715.38
I000331,O000189,P0305,1,252.76,252.76
I000332,O000189,P0254,1,25.8,25.8
I000333,O000190,P0210,1,95.36,95.36
I000334,O000190,P0281,1,52.33,52.33
I000335,O000190,P0065,2,29.8,59.6
I000336,O000190,P0190,1,56.99,56.99
I000337,O000191,P0461,1,179.86,179.86
I000338,O000192,P0493,2,324.84,649.68
I000339,O000193,P0291,1,458.94,458.94
I000340,O000194,P0352,1,159.87,159.87
I000341,O000195,P0336,1,208.85,208.85
I000342,O000196,P0250,1,246.09,246.09
I000343,O000197,P0159,1,959.45,959.45
I000344,O000197,P0067,2,300.53,601.06
I000345,O000197,P0147,3,172.12,516.36
I000346,O000198,P0040,1,50.92,50.92
I000347,O000199,P0211,2,310.46,620.92
I000348,O000200,P0484,2,27.8,55.6
I000349,O000200,P0223,2,88.13,176.26
I000350,O000201,P0145,1,146.08,146.08
I000351,O000201,P0300,2,61.13,122.26
I000352,O000202,P0176,1,283.36,283.36
I000353,O000203,P0061,2,196.53,393.06
I000354,O000203,P0369,2,272.64,545.28
I000355,O000204,P0395,1,71.75,71.75
I000356,O000204,P0184,1,71.86,71.86
I000357,O000205,P0042,1,257.76,257.76
I000358,O000205,P0167,1,120.95,120.95
I000359,O000205,P0365,1,514.41,514.41
I000360,O000206,P0274,2,57.38,114.76
I000361,O000206,P0423,2,574.45,1148.9
I000362,O000207,P0068,1,17.57,17.57
I000363,O000207,P0227,1,311.57,311.57
I000364,O000208,P0399,1,857.69,857.69
I000365,O000209,P0387,1,1239.47,1239.47
I000366,O000209,P0351,1,1371.76,1371.76
I000367,O000209,P0023,1,60.27,60.27
I000368,O000209,P0080,2,130.19,260.38
I000369,O000210,P0148,1,191.33,191.33
I000370,O000211,P0457,1,341.15,341.15
I000371,O000212,P0066,1,50.48,50.48
I000372,O000212,P0406,1,1352.19,1352.19
I000373,O000213,P0200,1,238.54,238.54
I000374,O000213,P0242,1,1343.51,1343.51
I000375,O000214,P0231,1,1012.74,1012.74
I000376,O000215,P0256,1,309.47,309.47
I000377,O000215,P0071,1,807.05,807.05
I000378,O000216,P0279,2,57.89,115.78
I000379,O000216,P0181,1,402.21,402.21
I000380,O000217,P0198,2,27.4,54.8
I000381,O000218,P0293,1,121.49,121.49
I000382,O000219,P0144,1,98.03,98.03
I000383,O000219,P0015,1,124.43,124.43
I000384,O000219,P0082,1,181.24,181.24
I000385,O000220,P0175,1,31.14,31.14
I000386,O000220,P0094,1,674.43,674.43
I000387,O000221,P0314,2,171.78,343.56
I000388,O000222,P0051,1,143.92,143.92
I000389,O000223,P0353,1,53.77,53.77
I000390,O000224,P0278,2,998.12,1996.24
I000391,O000224,P0354,1,298.86,298.86
I000392,O000225,P0443,1,160.92,160.92
I000393,O000226,P0198,1,27.4,27.4
I000394,O000226,P0373,2,498.92,997.84
I000395,O000227,P0468,2,566.11,1132.22
I000396,O000227,P0444,1,96.0,96.0
I000397,O000227,P0006,1,221.11,221.11
I000398,O000227,P0125,1,224.33,224.33
I000399,O000228,P0234,1,1473.32,1473.32
I000400,O000229,P0279,2,57.89,115.78
I000401,O000229,P0376,1,162.59,162.59
I000402,O000229,P0112,1,457.9,457.9
I000403,O000230,P0160,1,118.55,118.55
I000404,O000230,P0152,1,369.79,369.79
I000405,O000230,P0204,1,1476.52,1476.52
I000406,O000231,P0205,1,248.7,248.7
I000407,O000232,P0332,2,115.59,231.18
I000408,O000233,P0417,1,158.45,158.45
I000409,O000234,P0258,1,364.25,364.25
I000410,O000234,P0275,1,109.0,109.0
I000411,O000235,P0160,1,118.55,118.55
I000412,O000236,P0027,1,30.61,30.61
I000413,O000237,P0169,1,93.68,93.68
I000414,O000238,P0357,1,91.59,91.59
I000415,O000239,P0136,1,47.43,47.43
I000416,O000240,P0417,1,158.45,158.45
I000417,O000241,P0261,1,398.42,398.42
I000418,O000241,P0425,2,397.86,795.72
I000419,O000242,P0072,1,792.42,792.42
I000420,O000242,P0295,1,149.36,149.36
I000421,O000243,P0033,1,382.26,382.26
I000422,O000244,P0121,1,434.62,434.62
I000423,O000244,P0293,1,121.49,121.49
I000424,O000245,P0002,1,34.83,34.83
I000425,O000245,P0290,1,210.19,210.19
I000426,O000246,P0145,2,146.08,292.16
I000427,O000247,P0016,2,303.79,607.58
I000428,O000248,P0009,1,232.66,232.66
I000429,O000248,P0258,1,364.25,364.25
I000430,O000248,P0475,1,49.0,49.0
I000431,O000249,P0194,3,72.49,217.47
I000432,O000250,P0495,1,273.23,273.23
I000433,O000250,P0195,1,171.11,171.11
I000434,O000251,P0222,1,280.44,280.44
I000435,O000252,P0182,1,1012.72,1012.72
I000436,O000252,P0251,1,468.13,468.13
I000437,O000252,P0080,1,130.19,130.19
I000438,O000253,P0141,2,1129.6,2259.2
I000439,O000254,P0039,1,124.65,124.65
I000440,O000254,P0218,1,139.49,139.49
I000441,O000255,P0453,1,950.79,950.79
I000442,O000256,P0156,1,96.87,96.87
I000443,O000256,P0094,1,674.43,674.43
I000444,O000256,P0453,2,950.79,1901.58
I000445,O000257,P0041,1,329.03,329.03
I000446,O000258,P0109,1,378.8,378.8
I000447,O000258,P0080,1,130.19,130.19
I000448,O000259,P0138,1,206.37,206.37
I000449,O000259,P0356,1,180.38,180.38
I000450,O000259,P0462,1,958.47,958.47
I000451,O000260,P0457,1,341.15,341.15
I000452,O000261,P0160,1,118.55,118.55
I000453,O000261,P0175,1,31.14,31.14
I000454,O000262,P0487,1,44.49,44.49
I000455,O000262,P0092,2,106.86,213.72
I000456,O000262,P0303,3,111.92,335.76
I000457,O000263,P0041,1,329.03,329.03
I000458,O000264,P0231,1,1019.77,1019.77
I000459,O000264,P0059,1,404.87,404.87
I000460,O000264,P0182,1,1073.47,1073.47
I000461,O000265,P0141,1,1129.6,1129.6
I000462,O000265,P0074,1,75.58,75.58
I000463,O000266,P0472,2,449.69,899.38
I000464,O000266,P0348,1,86.93,86.93
I000465,O000266,P0123,1,197.26,197.26
I000466,O000267,P0369,2,272.64,545.28
I000467,O000268,P0412,1,1228.22,1228.22
I000468,O000269,P0014,1,11.59,11.59
I000469,O000269,P0285,1,150.31,150.31
I000470,O000269,P0403,1,98.2,98.2
I000471,O000270,P0408,1,358.14,358.14
I000472,O000271,P0490,1,43.01,43.01
I000473,O000271,P0382,1,207.33,207.33
I000474,O000272,P0055,1,93.64,93.64
I000475,O000272,P0115,2,61.65,123.3
I000476,O000273,P0437,1,98.36,98.36
I000477,O000274,P0329,1,230.03,230.03
I000478,O000274,P0212,2,376.73,753.46
I000479,O000274,P0045,1,539.43,539.43
I000480,O000275,P0198,1,27.4,27.4
I000481,O000276,P0107,1,380.59,380.59
I000482,O000277,P0174,1,187.75,187.75
I000483,O000278,P0429,1,386.87,386.87
I000484,O000279,P0257,1,363.39,363.39
I000485,O000279,P0431,1,23.15,23.15
I000486,O000279,P0111,1,1037.03,1037.03
I000487,O000280,P0067,1,300.53,300.53
I000488,O000281,P0119,2,90.85,181.7
I000489,O000281,P0017,1,48.04,48.04
I000490,O000282,P0144,1,98.03,98.03
I000491,O000283,P0073,1,126.73,126.73
I000492,O000284,P0026,1,146.77,146.77
I000493,O000284,P0428,1,484.96,484.96
I000494,O000284,P0278,1,998.12,998.12
I000495,O000285,P0307,1,45.38,45.38
I000496,O000285,P0140,1,271.26,271.26
I000497,O000286,P0293,1,121.49,121.49
I000498,O000287,P0477,1,141.84,141.84
I000499,O000288,P0177,2,375.35,750.7
I000500,O000289,P0332,1,115.59,115.59
I000501,O000289,P0219,1,163.13,163.13
I000502,O000290,P0121,1,407.26,407.26
I000503,O000290,P0431,1,23.15,23.15
I000504,O000291,P0390,1,333.06,333.06
I000505,O000291,P0464,1,684.13,684.13
I000506,O000291,P0323,1,787.48,787.48
I000507,O000292,P0406,1,1252.39,1252.39
I000508,O000293,P0436,2,453.79,907.58
I000509,O000293,P0331,1,60.8,60.8
I000510,O000293,P0073,1,126.73,126.73
I000511,O000293,P0194,1,72.49,72.49
I000512,O000294,P0335,1,926.62,926.62
I000513,O000294,P0243,1,86.13,86.13
I000514,O000294,P0040,1,50.92,50.92
I000515,O000295,P0192,1,379.39,379.39
I000516,O000296,P0153,1,286.59,286.59
I000517,O000297,P0227,1,328.88,328.88
I000518,O000298,P0352,1,159.87,159.87
I000519,O000298,P0198,1,27.4,27.4
I000520,O000298,P0379,1,58.46,58.46
I000521,O000299,P0399,1,857.69,857.69
I000522,O000299,P0434,1,150.29,150.29
I000523,O000300,P0043,1,122.45,122.45
I000524,O000301,P0033,1,382.26,382.26
I000525,O000301,P0156,1,96.87,96.87
I000526,O000301,P0051,1,143.92,143.92
I000527,O000301,P0028,2,57.02,114.04
I000528,O000302,P0377,1,200.5,200.5
I000529,O000303,P0147,1,172.12,172.12
I000530,O000304,P0119,1,96.44,96.44
I000531,O000304,P0470,1,183.92,183.92
I000532,O000305,P0030,2,387.95,775.9
I000533,O000306,P0041,1,329.03,329.03
I000534,O000307,P0082,1,181.24,181.24
I000535,O000308,P0417,1,158.45,158.45
I000536,O000309,P0307,1,45.38,45.38
I000537,O000309,P0063,1,130.59,130.59
I000538,O000310,P0435,2,180.25,360.5
I000539,O000310,P0314,2,171.78,343.56
I000540,O000311,P0393,2,178.52,357.04
I000541,O000311,P0442,1,381.56,381.56
I000542,O000311,P0352,1,159.87,159.87
I000543,O000312,P0399,1,857.69,857.69
I000544,O000313,P0127,2,396.78,793.56
I000545,O000313,P0139,1,280.18,280.18
I000546,O000313,P0497,1,49.96,49.96
I000547,O000313,P0346,2,1286.53,2573.06
I000548,O000314,P0433,1,18.48,18.48
I000549,O000314,P0432,1,37.73,37.73
I000550,O000315,P0044,1,1249.04,1249.04
I000551,O000315,P0177,1,375.35,375.35
I000552,O000316,P0363,1,289.69,289.69
I000553,O000317,P0119,1,90.85,90.85
I000554,O000317,P0152,1,369.79,369.79
I000555,O000317,P0075,1,1316.62,1316.62
I000556,O000318,P0145,1,146.08,146.08
I000557,O000319,P0368,1,45.54,45.54
I000558,O000319,P0032,1,205.49,205.49
I000559,O000320,P0051,1,143.92,143.92
I000560,O000321,P0302,1,245.88,245.88
I000561,O000321,P0489,2,388.59,777.18
I000562,O000321,P0122,2,127.23,254.46
I000563,O000321,P0330,1,526.38,526.38
I000564,O000322,P0494,1,141.91,141.91
I000565,O000322,P0122,2,127.23,254.46
I000566,O000323,P0373,1,498.92,498.92
I000567,O000324,P0292,1,152.64,152.64
I000568,O000325,P0007,1,182.15,182.15
I000569,O000326,P0345,3,79.7,239.1
I000570,O000327,P0291,1,458.94,458.94
I000571,O000328,P0395,1,71.75,71.75
I000572,O000328,P0033,1,382.26,382.26
I000573,O000329,P0099,3,210.92,632.76
I000574,O000329,P0315,1,546.96,546.96
I000575,O000329,P0450,1,239.93,239.93
I000576,O000330,P0360,1,48.84,48.84
I000577,O000331,P0252,1,546.01,546.01
I000578,O000331,P0398,1,209.5,209.5
I000579,O000332,P0124,1,219.12,219.12
I000580,O000332,P0287,1,149.31,149.31
I000581,O000332,P0103,1,217.52,217.52
I000582,O000333,P0489,1,388.59,388.59
I000583,O000333,P0203,1,1164.57,1164.57
I000584,O000333,P0250,1,246.09,246.09
I000585,O000334,P0212,1,376.73,376.73
I000586,O000334,P0417,1,158.45,158.45
I000587,O000334,P0240,1,13.93,13.93
I000588,O000334,P0348,1,86.93,86.93
I000589,O000335,P0014,1,11.59,11.59
I000590,O000335,P0128,1,13.6,13.6
I000591,O000335,P0148,1,191.33,191.33
I000592,O000336,P0348,1,86.93,86.93
I000593,O000337,P0203,1,1164.57,1164.57
I000594,O000338,P0364,1,203.91,203.91
I000595,O000339,P0183,1,298.68,298.68
I000596,O000340,P0117,1,536.31,536.31
I000597,O000340,P0197,1,11.97,11.97
I000598,O000341,P0395,1,71.75,71.75
I000599,O000341,P0212,1,376.73,376.73
I000600,O000342,P0112,1,457.9,457.9
I000601,O000343,P0067,1,300.53,300.53
I000602,O000343,P0034,1,1020.33,1020.33
I000603,O000344,P0224,1,359.73,359.73
I000604,O000345,P0489,1,388.59,388.59
I000605,O000346,P0063,1,130.59,130.59
I000606,O000347,P0244,1,297.1,297.1
I000607,O000347,P0285,1,150.31,150.31
I000608,O000348,P0493,1,301.89,301.89
I000609,O000349,P0315,1,546.96,546.96
I000610,O000349,P0317,1,121.46,121.46
I000611,O000350,P0332,1,115.59,115.59
I000612,O000350,P0301,2,158.13,316.26
I000613,O000350,P0084,1,268.88,268.88
I000614,O000350,P0249,1,18.94,18.94
I000615,O000351,P0128,1,13.6,13.6
I000616,O000351,P0159,1,959.45,959.45
I000617,O000351,P0171,1,413.86,413.86
I000618,O000352,P0250,1,246.09,246.09
I000619,O000353,P0019,1,46.32,46.32
I000620,O000353,P0062,1,43.01,43.01
I000621,O000354,P0406,1,1252.39,1252.39
I000622,O000355,P0237,2,308.42,616.84
I000623,O000356,P0264,1,296.9,296.9
I000624,O000357,P0349,2,300.45,600.9
I000625,O000357,P0128,1,13.6,13.6
I000626,O000358,P0428,1,484.96,484.96
I000627,O000358,P0310,1,49.86,49.86
I000628,O000358,P0251,1,468.13,468.13
I000629,O000358,P0364,1,203.91,203.91
