customer_id,name,segment,region,channel,signup_date
C00043,Customer 43,consumer,West,web,2024-02-28
C00044,Customer 44,smb,South,store,2024-05-29
C00045,Customer 45,consumer,East,web,2023-12-30
C00046,Customer 46,consumer,West,store,2024-03-26
C00047,Customer 47,consumer,South,referral,2024-05-30
C00048,Customer 48,consumer,West,web,2023-11-25
C00049,Customer 49,consumer,North,web,2024-01-05
C00050,Customer 50,consumer,West,store,2024-08-19
C00051,Customer 51,enterprise,West,store,2024-01-22
C00052,Customer 52,smb,West,web,2024-06-30
C00053,Customer 53,smb,North,store,2023-04-24
C00054,Customer 54,smb,South,store,2024-07-24
C00055,Customer 55,consumer,South,store,2023-02-07
C00056,Customer 56,smb,East,store,2024-06-28
C00057,Customer 57,consumer,East,web,2024-01-12
C00058,Customer 58,consumer,West,referral,2024-02-03
C00059,Customer 59,consumer,East,web,2023-07-22
C00060,Customer 60,consumer,East,web,2023-07-21
C00061,Customer 61,consumer,East,web,2023-04-10
C00062,Customer 62,consumer,West,web,2024-02-02
C00063,Customer 63,smb,North,web,2024-03-25
C00064,Customer 64,consumer,West,web,2023-04-28
C00065,Customer 65,consumer,North,web,2024-02-25
C00066,Customer 66,consumer,West,store,2023-08-31
C00067,Customer 67,consumer,East,web,2024-06-24
C00068,Customer 68,smb,East,web,2023-08-15
C00069,Customer 69,consumer,East,web,2024-05-15
C00070,Customer 70,enterprise,East,web,2023-08-01
C00071,Customer 71,smb,East,web,2024-11-29
C00072,Customer 72,consumer,East,web,2023-04-23
C00073,Customer 73,consumer,South,referral,2024-01-08
C00074,Customer 74,smb,South,store,2023-10-26
C00075,Customer 75,smb,South,store,2024-11-03
C00076,Customer 76,smb,West,web,2023-01-19
C00077,Customer 77,smb,East,web,2024-11-01
C00078,Customer 78,consumer,East,web,2023-01-11
C00079,Customer 79,consumer,East,store,2023-01-08
C00080,Customer 80,consumer,East,web,2023-06-02
C00081,Customer 81,smb,East,web,2024-09-16
C00082,Customer 82,consumer,West,web,2024-10-21
C00083,Customer 83,consumer,West,web,2024-07-03
C00084,Customer 84,consumer,West,referral,2023-05-15
C00085,Customer 85,consumer,South,store,2024-01-08
C00086,Customer 86,consumer,South,store,2024-04-05
C00087,Customer 87,smb,North,web,2023-08-23
C00088,Customer 88,consumer,South,store,2023-09-12
C00089,Customer 89,smb,West,store,2024-08-08
C00090,Customer 90,consumer,North,referral,2023-11-24
C00091,Customer 91,consumer,North,web,2023-12-28
C00092,Customer 92,smb,East,web,2024-01-09
C00093,Customer 93,smb,East,store,2023-07-28
C00094,Customer 94,consumer,North,web,2023-09-24
C00095,Customer 95,smb,East,store,2024-10-17
C00096,Customer 96,consumer,North,referral,2024-07-07
C00097,Customer 97,consumer,West,web,2024-05-20
C00098,Customer 98,consumer,West,web,2024-07-17
C00099,Customer 99,consumer,East,web,2024-02-25
C00100,Customer 100,consumer,East,store,2023-11-04
C00101,Customer 101,consumer,South,store,2023-05-17
C00102,Customer 102,consumer,North,web,2024-02-23
C00103,Customer 103,consumer,East,web,2023-07-14
C00104,Customer 104,consumer,West,web,2023-04-05
C00105,Customer 105,smb,South,store,2024-05-04
C00106,Customer 106,consumer,East,web,2023-09-15
C00107,Customer 107,consumer,West,web,2023-01-25
C00108,Customer 108,smb,East,store,2023-08-20
C00109,Customer 109,consumer,South,web,2023-11-28
C00110,Customer 110,consumer,South,web,2024-08-28
C00111,Customer 111,consumer,East,web,2023-08-09
C00112,Customer 112,consumer,East,web,2023-10-24
C00113,Customer 113,smb,North,web,2023-07-22
C00114,Customer 114,smb,South,referral,2023-12-09
C00115,Customer 115,consumer,East,store,2024-08-15
C00116,Customer 116,smb,West,store,2023-07-24
C00117,Customer 117,smb,South,referral,2023-03-18
C00118,Customer 118,consumer,West,web,2024-07-03
C00119,Customer 119,smb,West,web,2024-12-07
C00120,Customer 120,consumer,East,web,2023-02-11
C00121,Customer 121,smb,West,store,2024-03-30
C00122,Customer 122,smb,East,store,2023-07-01
C00123,Customer 123,consumer,West,web,2023-07-14
C00124,Customer 124,consumer,South,web,2024-08-12
C00125,Customer 125,consumer,West,web,2024-01-23
C00126,Customer 126,consumer,West,web,2024-09-28
C00127,Customer 127,smb,West,store,2023-05-21
C00128,Customer 128,smb,North,web,2023-01-27
C00129,Customer 129,consumer,North,referral,2023-11-11
C00130,Customer 130,consumer,West,web,2023-11-17
C00131,Customer 131,consumer,South,store,2024-03-23
C00132,Customer 132,consumer,East,referral,2023-10-20
C00133,Customer 133,consumer,North,referral,2023-08-24
C00134,Customer 134,consumer,East,web,2024-12-15
C00135,Customer 135,smb,South,web,2024-04-01
C00136,Customer 136,consumer,West,web,2024-10-15
C00137,Customer 137,consumer,East,web,2024-08-28
C00138,Customer 138,smb,North,store,2024-10-25
C00139,Customer 139,consumer,East,referral,2023-03-08
C00140,Customer 140,enterprise,West,web,2023-06-25
C00141,Customer 141,enterprise,West,web,2024-05-24
C00142,Customer 142,consumer,South,web,2024-09-06
C00143,Customer 143,consumer,East,store,2023-04-01
C00144,Customer 144,consumer,East,referral,2024-12-05
C00145,Customer 145,consumer,North,web,2023-06-15
C00146,Customer 146,consumer,West,web,2024-08-24
C00147,Customer 147,consumer,East,store,2024-03-13
C00148,Customer 148,consumer,North,store,2023-02-20
C00149,Customer 149,consumer,East,web,2024-11-08
C00150,Customer 150,consumer,West,store,2024-11-16
C00151,Customer 151,smb,East,referral,2023-09-23
C00152,Customer 152,consumer,South,web,2024-06-04
C00153,Customer 153,consumer,West,web,2023-03-28
C00154,Customer 154,consumer,North,web,2024-08-28
C00155,Customer 155,enterprise,South,web,2023-02-21
C00156,Customer 156,consumer,West,web,2023-06-28
C00157,Customer 157,consumer,South,web,2023-10-05
C00158,Customer 158,smb,East,web,2023-08-27
C00159,Customer 159,consumer,East,web,2024-08-07
C00160,Customer 160,smb,South,web,2023-12-05
C00161,Customer 161,consumer,North,web,2023-03-13
C00162,Customer 162,consumer,West,store,2024-01-09
C00163,Customer 163,consumer,East,store,2024-08-02
C00164,Customer 164,consumer,East,web,2024-05-31
C00165,Customer 165,consumer,East,web,2023-08-26
C00166,Customer 166,smb,East,store,2024-04-10
C00167,Customer 167,consumer,West,web,2023-05-01
C00168,Customer 168,consumer,South,referral,2024-02-17
C00169,Customer 169,consumer,East,web,2024-12-23
C00170,Customer 170,consumer,West,store,2024-07-23
C00171,Customer 171,consumer,South,web,2023-02-12
C00172,Customer 172,consumer,South,store,2024-05-18
C00173,Customer 173,consumer,East,store,2023-07-16
C00174,Customer 174,consumer,West,referral,2023-03-13
C00175,Customer 175,consumer,East,referral,2023-04-01
C00176,Customer 176,consumer,West,web,2024-07-02
C00177,Customer 177,consumer,West,web,2024-05-05
C00178,Customer 178,consumer,South,web,2024-01-18
C00179,Customer 179,smb,West,web,2024-04-10
C00180,Customer 180,consumer,West,web,2023-06-03
C00181,Customer 181,consumer,West,store,2023-06-19
C00182,Customer 182,consumer,West,referral,2023-09-29
C00183,Customer 183,smb,West,web,2023-04-20
C00184,Customer 184,smb,North,web,2023-05-31
C00185,Customer 185,consumer,West,web,2024-03-06
C00186,Customer 186,consumer,West,store,2024-03-26
C00187,Customer 187,smb,West,web,2024-10-04
C00188,Customer 188,consumer,North,referral,2023-01-23
C00189,Customer 189,consumer,East,store,2024-01-02
C00190,Customer 190,consumer,East,store,2024-10-12
C00191,Customer 191,consumer,North,web,2023-08-27
C00192,Customer 192,smb,East,web,2024-03-09
C00193,Customer 193,smb,East,referral,2024-12-04
C00194,Customer 194,consumer,West,store,2023-05-07
C00195,Customer 195,consumer,East,referral,2024-06-24
C00196,Customer 196,consumer,East,web,2024-09-24
C00197,Customer 197,smb,South,store,2023-07-17
C00198,Customer 198,smb,West,web,2024-11-16
C00199,Customer 199,smb,East,store,2024-10-17
C00200,Customer 200,smb,West,store,2024-04-26
C00201,Customer 201,consumer,West,store,2023-06-28
C00202,Customer 202,consumer,East,store,2024-06-06
C00203,Customer 203,consumer,North,web,2024-10-12
C00204,Customer 204,smb,East,referral,2024-03-12
C00205,Customer 205,consumer,South,referral,2023-11-10
C00206,Customer 206,consumer,West,web,2023-01-19
C00207,Customer 207,consumer,West,referral,2023-06-09
C00208,Customer 208,consumer,West,web,2023-05-02
C00209,Customer 209,consumer,East,store,2023-03-13
C00210,Customer 210,consumer,West,web,2023-02-24
C00211,Customer 211,consumer,West,referral,2024-04-04
C00212,Customer 212,consumer,South,web,2023-06-18
C00213,Customer 213,consumer,West,web,2024-09-02
C00214,Customer 214,consumer,East,web,2024-08-04
C00215,Customer 215,smb,East,web,2023-05-29
C00216,Customer 216,consumer,East,store,2024-09-20
C00217,Customer 217,consumer,East,web,2023-01-26
C00218,Customer 218,smb,East,store,2023-09-05
C00219,Customer 219,consumer,West,referral,2024-12-21
C00220,Customer 220,smb,South,store,2023-08-15
C00221,Customer 221,consumer,North,store,2024-09-17
C00222,Customer 222,consumer,West,web,2024-12-06
C00223,Customer 223,consumer,West,web,2024-04-28
C00224,Customer 224,consumer,North,web,2023-01-10
C00225,Customer 225,consumer,East,web,2023-04-05
C00226,Customer 226,consumer,East,referral,2023-05-01
C00227,Customer 227,enterprise,East,web,2023-05-06
C00228,Customer 228,consumer,West,referral,2024-07-02
C00229,Customer 229,smb,East,web,2023-03-10
C00230,Customer 230,consumer,East,store,2023-10-24
C00231,Customer 231,smb,West,web,2024-11-16
C00232,Customer 232,consumer,East,web,2024-05-15
C00233,Customer 233,consumer,South,store,2023-02-14
C00234,Customer 234,consumer,East,web,2024-09-26
C00235,Customer 235,consumer,West,store,2024-01-17
C00236,Customer 236,smb,East,web,2023-01-27
C00237,Customer 237,consumer,South,web,2024-12-05
C00238,Customer 238,consumer,South,referral,2024-05-11
C00239,Customer 239,consumer,East,web,2023-05-16
C00240,Customer 240,consumer,West,store,2024-12-07
C00241,Customer 241,smb,South,web,2023-02-18
C00242,Customer 242,enterprise,South,store,2024-08-30
C00243,Customer 243,smb,West,web,2024-05-21
C00244,Customer 244,consumer,East,web,2023-05-01
C00245,Customer 245,consumer,East,web,2023-08-05
C00246,Customer 246,smb,South,web,2024-09-17
C00247,Customer 247,consumer,West,web,2024-06-09
C00248,Customer 248,enterprise,East,store,2024-07-27
C00249,Customer 249,enterprise,North,store,2023-02-12
C00250,Customer 250,smb,South,web,2023-04-06
C00251,Customer 251,consumer,North,web,2023-01-27
C00252,Customer 252,consumer,North,web,2023-08-30
C00253,Customer 253,smb,West,web,2024-05-01
C00254,Customer 254,consumer,East,web,2023-08-28
C00255,Customer 255,consumer,East,web,2023-10-31
C00256,Customer 256,consumer,North,referral,2023-03-08
C00257,Customer 257,smb,West,store,2023-10-08
C00258,Customer 258,consumer,North,web,2023-07-11
C00259,Customer 259,consumer,East,web,2023-04-29
C00260,Customer 260,consumer,South,store,2023-06-01
C00261,Customer 261,consumer,West,web,2024-01-27
C00262,Customer 262,enterprise,West,store,2023-08-19
C00263,Customer 263,consumer,South,referral,2023-12-17
C00264,Customer 264,consumer,West,web,2024-07-24
C00265,Customer 265,smb,South,web,2024-06-12
C00266,Customer 266,smb,West,store,2023-06-20
C00267,Customer 267,consumer,South,referral,2023-05-12
C00268,Customer 268,smb,East,web,2023-12-23
C00269,Customer 269,consumer,East,store,2024-10-09
C00270,Customer 270,consumer,South,web,2023-02-11
C00271,Customer 271,smb,East,web,2023-11-01
C00272,Customer 272,smb,West,store,2023-01-06
C00273,Customer 273,smb,West,referral,2023-11-25
C00274,Customer 274,smb,East,store,2023-06-19
C00275,Customer 275,consumer,East,store,2023-12-04
C00276,Customer 276,consumer,South,web,2024-12-27
C00277,Customer 277,smb,East,web,2023-03-10
C00278,Customer 278,consumer,East,web,2024-06-22
C00279,Customer 279,smb,East,web,2024-05-21
C00280,Customer 280,smb,West,store,2024-04-30
C00281,Customer 281,smb,East,web,2024-03-18
C00282,Customer 282,consumer,North,store,2023-02-20
C00283,Customer 283,consumer,North,store,2023-05-29
C00284,Customer 284,consumer,East,web,2024-08-09
C00285,Customer 285,consumer,East,web,2023-04-02
C00286,Customer 286,consumer,South,store,2024-01-03
C00287,Customer 287,consumer,East,referral,2024-08-02
C00288,Customer 288,consumer,West,store,2024-10-17
C00289,Customer 289,consumer,West,web,2023-03-17
C00290,Customer 290,consumer,East,web,2023-03-27
C00291,Customer 291,consumer,North,web,2023-08-15
C00292,Customer 292,consumer,South,web,2023-12-29
C00293,Customer 293,smb,West,store,2024-07-21
C00294,Customer 294,consumer,West,store,2024-08-14
C00295,Customer 295,consumer,South,web,2023-01-24
C00296,Customer 296,consumer,South,web,2023-01-28
C00297,Customer 297,smb,East,web,2023-05-01
C00298,Customer 298,consumer,East,referral,2024-05-04
C00299,Customer 299,consumer,West,web,2024-08-27
C00300,Customer 300,consumer,South,store,2024-09-15
C00301,Customer 301,consumer,South,web,2023-12-11
C00302,Customer 302,consumer,West,store,2023-01-31
C00303,Customer 303,consumer,South,web,2024-10-16
C00304,Customer 304,consumer,West,web,2023-08-15
C00305,Customer 305,smb,West,store,2023-09-07
C00306,Customer 306,enterprise,West,web,2023-02-19
C00307,Customer 307,consumer,West,web,2024-12-26
C00308,Customer 308,consumer,East,web,2024-01-24
C00309,Customer 309,smb,East,web,2023-10-15
C00310,Customer 310,consumer,East,web,2024-12-07
C00311,Customer 311,consumer,East,store,2024-08-13
C00312,Customer 312,consumer,West,referral,2024-04-19
C00313,Customer 313,consumer,West,web,2024-08-25
C00314,Customer 314,enterprise,East,web,2023-01-06
C00315,Customer 315,smb,East,web,2024-02-16
C00316,Customer 316,consumer,West,web,2024-10-23
C00317,Customer 317,consumer,North,web,2023-11-20
C00318,Customer 318,consumer,South,store,2024-02-03
C00319,Customer 319,consumer,North,web,2023-10-09
C00320,Customer 320,consumer,East,web,2023-07-10
C00321,Customer 321,consumer,West,store,2024-08-07
C00322,Customer 322,smb,South,referral,2024-05-14
C00323,Customer 323,consumer,West,referral,2024-08-02
C00324,Customer 324,consumer,East,store,2024-03-09
C00325,Customer 325,enterprise,West,referral,2023-03-04
C00326,Customer 326,smb,South,web,2024-03-28
C00327,Customer 327,consumer,West,web,2024-05-07
C00328,Customer 328,consumer,North,web,2024-10-07
C00329,Customer 329,consumer,North,store,2024-03-17
C00330,Customer 330,consumer,East,referral,2023-11-03
C00331,Customer 331,consumer,South,web,2023-05-06
C00332,Customer 332,smb,East,store,2023-09-22
C00333,Customer 333,consumer,South,store,2023-01-07
C00334,Customer 334,consumer,East,referral,2024-02-17
C00335,Customer 335,consumer,South,store,2023-07-25
C00336,Customer 336,consumer,East,referral,2023-06-28
C00337,Customer 337,smb,North,web,2024-04-12
C00338,Customer 338,smb,East,web,2024-05-10
C00339,Customer 339,consumer,East,web,2024-11-25
C00340,Customer 340,consumer,South,web,2024-03-18
C00341,Customer 341,consumer,South,web,2023-08-16
C00342,Customer 342,consumer,East,store,2023-05-26
C00343,Customer 343,consumer,West,store,2024-07-23
C00344,Customer 344,consumer,East,store,2023-10-23
C00345,Customer 345,consumer,North,web,2023-08-29
C00346,Customer 346,consumer,South,web,2023-10-14
C00347,Customer 347,consumer,South,web,2024-11-05
C00348,Customer 348,consumer,West,web,2023-01-26
C00349,Customer 349,consumer,East,web,2024-03-27
C00350,Customer 350,consumer,East,web,2023-04-16
C00351,Customer 351,consumer,South,web,2023-08-28
C00352,Customer 352,smb,West,store,2024-02-22
C00353,Customer 353,consumer,North,web,2023-11-28
C00354,Customer 354,consumer,East,referral,2023-02-11
C00355,Customer 355,consumer,West,web,2024-10-06
C00356,Customer 356,consumer,East,referral,2024-07-09
C00357,Customer 357,consumer,West,web,2023-02-04
C00358,Customer 358,consumer,East,web,2023-12-13
C00359,Customer 359,smb,West,web,2024-01-19
C00360,Customer 360,consumer,West,store,2024-05-27
C00361,Customer 361,consumer,South,web,2023-10-15
C00362,Customer 362,consumer,West,web,2023-02-02
C00363,Customer 363,consumer,West,store,2023-04-05
C00364,Customer 364,consumer,East,web,2023-07-24
C00365,Customer 365,smb,East,web,2024-09-12
C00366,Customer 366,consumer,South,web,2023-01-30
C00367,Customer 367,enterprise,East,store,2023-09-23
C00368,Customer 368,smb,South,web,2023-01-23
C00369,Customer 369,consumer,East,web,2024-08-31
C00370,Customer 370,consumer,West,web,2023-02-08
C00371,Customer 371,consumer,West,web,2023-06-22
C00372,Customer 372,consumer,East,store,2024-02-17
C00373,Customer 373,consumer,East,web,2024-02-18
C00374,Customer 374,consumer,South,web,2024-11-04
C00375,Customer 375,consumer,East,web,2024-11-22
C00376,Customer 376,consumer,East,web,2024-09-06
C00377,Customer 377,smb,West,web,2023-07-28
C00378,Customer 378,consumer,West,web,2023-01-22
C00379,Customer 379,smb,East,web,2023-01-05
C00380,Customer 380,consumer,East,referral,2024-10-12
C00381,Customer 381,consumer,East,web,2023-08-02
C00382,Customer 382,consumer,West,web,2024-11-02
C00383,Customer 383,consumer,South,web,2023-05-19
C00384,Customer 384,smb,North,web,2024-10-18
C00385,Customer 385,smb,West,store,2024-11-02
C00386,Customer 386,smb,East,web,2024-08-17
C00387,Customer 387,consumer,North,web,2024-10-28
C00388,Customer 388,consumer,East,store,2023-11-13
C00389,Customer 389,smb,East,web,2024-07-29
C00390,Customer 390,smb,West,web,2024-12-04
C00391,Customer 391,enterprise,East,web,2023-06-05
C00392,Customer 392,consumer,West,web,2024-02-28
C00393,Customer 393,consumer,North,store,2024-05-14
C00394,Customer 394,smb,South,web,2023-04-01
C00395,Customer 395,consumer,South,web,2024-10-15
C00396,Customer 396,smb,South,web,2023-02-11
C00397,Customer 397,smb,East,web,2023-10-22
C00398,Customer 398,consumer,East,referral,2023-12-03
C00399,Customer 399,smb,North,web,2023-01-01
C00400,Customer 400,smb,North,referral,2023-04-19
C00401,Customer 401,consumer,East,web,2023-05-05
C00402,Customer 402,smb,North,store,2023-03-05
C00403,Customer 403,consumer,East,web,2023-07-25
C00404,Customer 404,smb,East,web,2024-02-19
C00405,Customer 405,consumer,East,store,2023-09-01
C00406,Customer 406,smb,West,store,2024-08-12
C00407,Customer 407,consumer,West,web,2024-09-14
C00408,Customer 408,consumer,West,web,2024-10-15
C00409,Customer 409,smb,East,web,2023-08-04
C00410,Customer 410,consumer,East,referral,2024-06-11
C00411,Customer 411,consumer,East,web,2024-07-19
C00412,Customer 412,enterprise,North,store,2024-10-14
C00413,Customer 413,enterprise,East,store,2024-01-15
C00414,Customer 414,consumer,East,store,2023-03-20
C00415,Customer 415,consumer,West,web,2024-02-19
C00416,Customer 416,consumer,West,web,2024-03-28
C00417,Customer 417,consumer,South,referral,2023-05-29
C00418,Customer 418,consumer,East,store,2024-09-30
C00419,Customer 419,consumer,South,store,2024-10-31
C00420,Customer 420,smb,West,web,2023-02-07
C00421,Customer 421,smb,East,store,2023-06-06
C00422,Customer 422,smb,West,web,2023-11-29
C00423,Customer 423,consumer,West,web,2023-10-15
C00424,Customer 424,consumer,West,store,2023-04-22
C00425,Customer 425,consumer,West,web,2024-12-02
C00426,Customer 426,consumer,East,store,2024-09-09
C00427,Customer 427,consumer,West,web,2023-04-01
C00428,Customer 428,smb,North,web,2023-02-18
C00429,Customer 429,consumer,East,web,2023-06-10
C00430,Customer 430,consumer,West,web,2024-05-30
C00431,Customer 431,consumer,West,web,2024-02-06
C00432,Customer 432,smb,East,store,2024-12-10
C00433,Customer 433,consumer,West,store,2023-11-16
C00434,Customer 434,consumer,North,web,2023-12-30
C00435,Customer 435,consumer,North,web,2024-03-17
C00436,Customer 436,smb,West,store,2024-04-19
C00437,Customer 437,consumer,East,store,2024-08-24
C00438,Customer 438,smb,West,store,2023-11-08
C00439,Customer 439,smb,East,store,2024-06-15
C00440,Customer 440,consumer,East,web,2024-08-11
C00441,Customer 441,consumer,West,web,2023-08-08
C00442,Customer 442,enterprise,West,web,2024-11-04
C00443,Customer 443,consumer,South,web,2024-05-11
C00444,Customer 444,consumer,East,store,2023-12-09
C00445,Customer 445,smb,West,web,2024-09-18
C00446,Customer 446,smb,South,referral,2023-04-04
C00447,Customer 447,enterprise,East,store,2023-05-13
C00448,Customer 448,smb,North,store,2024-05-15
C00449,Customer 449,consumer,West,referral,2023-06-21
C00450,Customer 450,consumer,South,web,2024-09-17
C00451,Customer 451,smb,South,store,2023-01-09
C00452,Customer 452,consumer,West,web,2024-11-12
C00453,Customer 453,consumer,South,web,2023-11-17
C00454,Customer 454,smb,East,store,2023-04-08
C00455,Customer 455,consumer,North,web,2023-06-18
C00456,Customer 456,consumer,West,referral,2023-11-07
C00457,Customer 457,consumer,East,store,2024-12-30
C00458,Customer 458,consumer,East,store,2023-12-09
C00459,Customer 459,consumer,North,web,2024-03-05
C00460,Customer 460,consumer,East,store,2024-07-09
C00461,Customer 461,consumer,North,web,2024-05-14
C00462,Customer 462,consumer,North,store,2023-10-12
C00463,Customer 463,smb,West,web,2024-09-29
C00464,Customer 464,consumer,South,store,2023-09-17
C00465,Customer 465,enterprise,North,web,2024-05-09
C00466,Customer 466,consumer,West,web,2023-12-21
C00467,Customer 467,consumer,East,web,2023-08-02
C00468,Customer 468,smb,East,web,2023-07-19
C00469,Customer 469,consumer,West,store,2023-08-24
C00470,Customer 470,enterprise,West,web,2023-05-16
C00471,Customer 471,consumer,West,web,2024-09-19
C00472,Customer 472,enterprise,West,web,2024-10-28
C00473,Customer 473,consumer,East,web,2024-02-26
C00474,Customer 474,smb,West,web,2023-12-07
C00475,Customer 475,consumer,North,store,2023-12-08
C00476,Customer 476,enterprise,South,web,2024-06-13
C00477,Customer 477,consumer,West,web,2024-01-23
C00478,Customer 478,consumer,South,web,2023-01-04
C00479,Customer 479,enterprise,South,web,2024-11-07
C00480,Customer 480,consumer,North,web,2024-09-30
C00481,Customer 481,consumer,West,web,2024-02-03
C00482,Customer 482,consumer,West,store,2024-02-26
C00483,Customer 483,consumer,North,web,2024-02-15
C00484,Customer 484,consumer,North,web,2023-08-01
C00485,Customer 485,consumer,South,web,2024-07-13
C00486,Customer 486,smb,South,store,2024-07-11
C00487,Customer 487,consumer,West,referral,2024-07-11
C00488,Customer 488,consumer,East,web,2023-02-17
C00489,Customer 489,enterprise,West,referral,2023-07-06
C00490,Customer 490,smb,West,web,2024-05-16
C00491,Customer 491,consumer,South,web,2024-09-23
C00492,Customer 492,consumer,West,web,2024-10-05
C00493,Customer 493,consumer,East,web,2024-06-14
C00494,Customer 494,consumer,North,web,2024-04-19
C00495,Customer 495,consumer,West,web,2023-02-11
C00496,Customer 496,consumer,North,web,2024-08-26
C00497,Customer 497,consumer,North,web,2023-09-18
C00498,Customer 498,consumer,East,web,2023-02-17
C00499,Customer 499,enterprise,West,web,2024-08-08
C00500,Customer 500,enterprise,East,store,2024-12-28
C00501,Customer 501,consumer,East,web,2024-03-21
C00502,Customer 502,consumer,East,store,2023-08-09
C00503,Customer 503,consumer,West,store,2024-09-12
C00504,Customer 504,smb,North,web,2024-10-08
C00505,Customer 505,consumer,West,web,2023-12-09
C00506,Customer 506,consumer,South,web,2023-08-26
C00507,Customer 507,smb,West,web,2023-06-04
C00508,Customer 508,smb,East,web,2023-02-25
C00509,Customer 509,smb,North,web,2024-01-22
C00510,Customer 510,smb,West,web,2024-12-10
C00511,Customer 511,consumer,West,store,2023-11-11
C00512,Customer 512,consumer,South,web,2023-02-07
C00513,Customer 513,smb,South,store,2023-12-07
C00514,Customer 514,smb,South,web,2024-12-29
C00515,Customer 515,consumer,East,store,2023-08-19
C00516,Customer 516,consumer,West,web,2024-03-27
C00517,Customer 517,consumer,North,web,2023-12-08
C00518,Customer 518,smb,North,referral,2024-03-28
C00519,Customer 519,enterprise,East,store,2023-09-14
C00520,Customer 520,consumer,South,web,2024-03-09
C00521,Customer 521,consumer,East,web,2023-07-28
C00522,Customer 522,consumer,East,store,2023-07-20
C00523,Customer 523,enterprise,West,store,2023-05-17
C00524,Customer 524,smb,East,web,2024-10-01
C00525,Customer 525,smb,East,web,2024-07-18
C00526,Customer 526,consumer,West,store,2024-01-29
C00527,Customer 527,consumer,East,web,2024-08-18
C00528,Customer 528,consumer,South,store,2024-12-21
C00529,Customer 529,consumer,South,web,2023-02-05
C00530,Customer 530,smb,East,referral,2023-08-03
C00531,Customer 531,smb,North,store,2023-01-27
C00532,Customer 532,enterprise,West,store,2024-10-19
C00533,Customer 533,enterprise,East,web,2023-01-18
C00534,Customer 534,consumer,South,web,2024-09-21
C00535,Customer 535,smb,East,web,2023-05-17
C00536,Customer 536,smb,East,store,2024-08-01
C00537,Customer 537,smb,West,store,2023-01-30
C00538,Customer 538,consumer,North,web,2023-03-14
C00539,Customer 539,consumer,East,store,2023-05-03
C00540,Customer 540,consumer,North,store,2023-08-16
C00541,Customer 541,enterprise,East,web,2023-12-04
C00542,Customer 542,consumer,South,web,2023-09-30
C00543,Customer 543,consumer,South,store,2024-03-12
C00544,Customer 544,consumer,South,web,2023-02-08
C00545,Customer 545,consumer,East,store,2024-11-12
C00546,Customer 546,consumer,East,web,2024-03-01
C00547,Customer 547,consumer,South,referral,2023-11-11
C00548,Customer 548,consumer,East,web,2024-09-05
C00549,Customer 549,consumer,East,web,2024-05-23
C00550,Customer 550,smb,West,web,2023-06-06
C00551,Customer 551,consumer,North,web,2023-09-14
C00552,Customer 552,smb,West,web,2024-09-26
C00553,Customer 553,consumer,East,web,2024-03-31
C00554,Customer 554,consumer,East,referral,2023-02-16
C00555,Customer 555,smb,East,referral,2023-11-28
C00556,Customer 556,consumer,South,web,2023-01-10
C00557,Customer 557,consumer,West,store,2023-05-24
C00558,Customer 558,consumer,East,web,2024-03-06
C00559,Customer 559,smb,South,store,2023-06-01
C00560,Customer 560,consumer,South,store,2024-05-01
