return_id,order_id,product_id,return_date,reason
R00247,O002750,P0436,2023-05-04,changed_mind
R00248,O002774,P0127,2024-07-10,changed_mind
R00249,O002775,P0280,2023-08-25,damaged
R00250,O002783,P0117,2023-09-07,defective
R00251,O002797,P0009,2024-02-03,changed_mind
R00252,O002797,P0127,2024-02-01,changed_mind
R00253,O002803,P0370,2023-06-13,changed_mind
R00254,O002863,P0059,2024-12-03,wrong_item
R00255,O002866,P0381,2024-11-23,defective
R00256,O002880,P0239,2023-04-26,defective
R00257,O002893,P0073,2025-01-02,wrong_item
R00258,O002895,P0091,2024-02-12,not_as_described
R00259,O002896,P0382,2024-11-28,wrong_item
R00260,O002919,P0216,2023-12-22,changed_mind
R00261,O002924,P0274,2023-07-28,defective
R00262,O002925,P0402,2024-01-13,defective
R00263,O002935,P0184,2024-08-12,damaged
R00264,O002950,P0338,2023-06-20,defective
R00265,O002956,P0084,2023-06-06,not_as_described
R00266,O002957,P0212,2024-04-29,not_as_described
R00267,O002960,P0314,2023-10-22,wrong_item
R00268,O003001,P0171,2024-11-27,not_as_described
R00269,O003003,P0179,2024-10-16,wrong_item
R00270,O003017,P0490,2024-09-27,wrong_item
R00271,O003025,P0107,2023-10-28,defective
R00272,O003032,P0059,2023-11-11,changed_mind
R00273,O003044,P0018,2024-02-14,not_as_described
R00274,O003050,P0409,2023-06-08,changed_mind
R00275,O003053,P0059,2023-06-24,changed_mind
R00276,O003057,P0491,2024-10-28,defective
R00277,O003062,P0218,2023-03-03,damaged
R00278,O003071,P0217,2024-02-10,damaged
R00279,O003076,P0223,2024-10-12,not_as_described
R00280,O003079,P0352,2023-12-27,not_as_described
R00281,O003081,P0278,2023-05-01,defective
R00282,O003115,P0326,2023-05-22,damaged
R00283,O003139,P0308,2023-03-20,wrong_item
R00284,O003142,P0350,2023-04-17,changed_mind
R00285,O003153,P0364,2023-03-16,changed_mind
R00286,O003176,P0426,2023-04-15,damaged
R00287,O003177,P0425,2024-03-16,defective
R00288,O003186,P0226,2024-10-23,wrong_item
R00289,O003193,P0388,2023-09-27,wrong_item
R00290,O003221,P0379,2024-10-06,damaged
R00291,O003253,P0419,2024-08-05,not_as_described
R00292,O003255,P0214,2024-08-23,not_as_described
R00293,O003260,P0334,2024-05-11,wrong_item
R00294,O003266,P0305,2024-10-27,wrong_item
R00295,O003269,P0345,2023-05-11,changed_mind
R00296,O003277,P0258,2024-10-29,defective
R00297,O003289,P0286,2024-06-28,changed_mind
R00298,O003297,P0007,2024-09-02,wrong_item
R00299,O003311,P0055,2024-06-16,changed_mind
R00300,O003341,P0003,2023-08-20,changed_mind
R00301,O003342,P0110,2024-07-02,defective
R00302,O003376,P0294,2024-07-23,changed_mind
R00303,O003381,P0102,2024-11-22,wrong_item
R00304,O003382,P0241,2024-11-25,changed_mind
R00305,O003385,P0217,2024-09-26,damaged
R00306,O003385,P0084,2024-09-27,not_as_described
R00307,O003418,P0099,2024-09-03,changed_mind
R00308,O003423,P0276,2024-07-12,damaged
R00309,O003440,P0145,2023-12-11,changed_mind
R00310,O003444,P0055,2024-07-22,not_as_described
R00311,O003445,P0455,2023-03-07,defective
R00312,O003454,P0227,2024-12-28,defective
R00313,O003457,P0381,2024-12-24,changed_mind
R00314,O003461,P0416,2024-01-12,defective
R00315,O003471,P0231,2024-07-13,not_as_described
R00316,O003473,P0399,2024-12-21,changed_mind
R00317,O003474,P0388,2023-02-21,changed_mind
R00318,O003489,P0115,2023-03-01,not_as_described
R00319,O003492,P0220,2023-11-05,defective
R00320,O003505,P0488,2023-06-15,damaged
R00321,O003518,P0347,2023-07-23,defective
R00322,O003520,P0319,2024-02-14,changed_mind
R00323,O003538,P0411,2023-04-24,not_as_described
R00324,O003543,P0494,2024-07-13,defective
R00325,O003567,P0332,2024-09-18,defective
R00326,O003572,P0242,2023-05-24,defective
R00327,O003575,P0252,2024-10-06,changed_mind
R00328,O003576,P0225,2023-01-23,damaged
R00329,O003579,P0063,2024-08-09,wrong_item
R00330,O003584,P0099,2024-11-16,changed_mind
R00331,O003585,P0350,2023-08-16,changed_mind
R00332,O003590,P0482,2023-11-02,damaged
R00333,O003596,P0037,2023-09-08,damaged
R00334,O003622,P0060,2024-01-18,not_as_described
R00335,O003637,P0285,2024-10-21,damaged
R00336,O003655,P0167,2023-01-08,changed_mind
R00337,O003659,P0301,2024-09-13,changed_mind
R00338,O003671,P0174,2023-04-11,defective
R00339,O003681,P0132,2023-07-20,defective
R00340,O003700,P0195,2024-06-03,damaged
R00341,O003708,P0030,2024-12-06,changed_mind
R00342,O003712,P0089,2023-10-06,damaged
R00343,O003723,P0279,2023-04-02,wrong_item
R00344,O003748,P0206,2023-10-05,damaged
R00345,O003750,P0408,2024-09-22,defective
R00346,O003762,P0435,2024-09-12,not_as_described
R00347,O003774,P0190,2024-10-27,wrong_item
R00348,O003778,P0239,2023-05-30,not_as_described
R00349,O003792,P0221,2024-02-24,wrong_item
R00350,O003795,P0425,2023-05-14,defective
R00351,O003796,P0420,2024-08-20,defective
R00352,O003805,P0265,2023-07-10,changed_mind
R00353,O003809,P0304,2023-05-06,changed_mind
R00354,O003811,P0280,2025-01-07,not_as_described
R00355,O003812,P0451,2023-06-25,damaged
R00356,O003813,P0166,2023-06-20,damaged
R00357,O003847,P0341,2024-03-26,changed_mind
R00358,O003875,P0363,2024-06-16,wrong_item
R00359,O003893,P0213,2023-08-28,defective
R00360,O003898,P0024,2024-05-19,wrong_item
R00361,O003903,P0140,2023-05-16,not_as_described
R00362,O003912,P0056,2024-11-03,wrong_item
R00363,O003915,P0445,2023-06-28,changed_mind
R00364,O003923,P0010,2023-12-30,changed_mind
R00365,O003924,P0287,2023-11-02,not_as_described
R00366,O003950,P0225,2024-11-03,defective
R00367,O003979,P0084,2023-05-08,defective
R00368,O003980,P0005,2024-01-06,damaged
R00369,O004008,P0235,2023-08-09,not_as_described
R00370,O004016,P0193,2023-06-04,changed_mind
R00371,O004017,P0108,2024-07-19,not_as_described
R00372,O004019,P0338,2023-09-28,defective
R00373,O004032,P0353,2024-02-17,not_as_described
R00374,O004057,P0046,2024-12-09,defective
R00375,O004058,P0362,2024-10-19,not_as_described
R00376,O004066,P0243,2024-07-01,changed_mind
R00377,O004071,P0310,2023-05-29,defective
R00378,O004071,P0266,2023-06-09,not_as_described
R00379,O004074,P0356,2023-09-03,not_as_described
R00380,O004075,P0160,2023-11-26,damaged
R00381,O004077,P0131,2024-04-18,wrong_item
R00382,O004084,P0223,2024-02-05,changed_mind
R00383,O004085,P0172,2024-02-02,wrong_item
R00384,O004089,P0478,2024-03-17,defective
R00385,O004095,P0100,2023-07-22,not_as_described
R00386,O004099,P0338,2024-05-19,wrong_item
R00387,O004103,P0168,2024-07-18,defective
R00388,O004104,P0224,2024-02-20,wrong_item
R00389,O004122,P0409,2023-12-07,defective
R00390,O004133,P0063,2024-08-30,defective
R00391,O004144,P0393,2023-04-25,not_as_described
R00392,O004147,P0306,2023-07-29,changed_mind
R00393,O004153,P0345,2023-12-31,changed_mind
R00394,O004154,P0433,2024-06-30,changed_mind
R00395,O004179,P0495,2024-04-14,defective
R00396,O004180,P0278,2024-10-17,defective
R00397,O004180,P0049,2024-10-01,changed_mind
R00398,O004200,P0247,2024-02-10,changed_mind
R00399,O004205,P0411,2023-02-28,damaged
R00400,O004215,P0010,2024-08-28,damaged
R00401,O004217,P0166,2025-01-08,damaged
R00402,O004232,P0282,2024-04-13,wrong_item
R00403,O004233,P0497,2023-11-22,defective
R00404,O004237,P0417,2023-08-24,not_as_described
R00405,O004237,P0224,2023-08-16,changed_mind
R00406,O004243,P0424,2023-06-30,changed_mind
R00407,O004251,P0467,2024-10-10,changed_mind
R00408,O004255,P0477,2023-03-20,wrong_item
R00409,O004260,P0487,2024-11-13,damaged
R00410,O004270,P0028,2023-05-27,defective
R00411,O004275,P0404,2023-09-15,damaged
R00412,O004286,P0177,2024-09-16,not_as_described
R00413,O004287,P0025,2024-03-29,damaged
R00414,O004293,P0195,2023-05-20,damaged
R00415,O004300,P0152,2023-04-08,wrong_item
R00416,O004306,P0218,2023-09-16,wrong_item
R00417,O004311,P0300,2024-02-24,not_as_described
R00418,O004325,P0251,2024-06-01,changed_mind
R00419,O004387,P0191,2023-11-25,defective
R00420,O004402,P0339,2024-07-14,defective
R00421,O004422,P0447,2025-01-02,changed_mind
R00422,O004427,P0220,2024-11-08,changed_mind
R00423,O004433,P0395,2023-10-27,defective
R00424,O004434,P0057,2023-03-28,changed_mind
R00425,O004439,P0439,2023-12-29,not_as_described
R00426,O004447,P0420,2023-07-11,damaged
R00427,O004454,P0180,2023-12-25,wrong_item
R00428,O004455,P0212,2024-10-13,defective
R00429,O004477,P0312,2024-07-27,not_as_described
R00430,O004482,P0063,2024-11-11,changed_mind
R00431,O004501,P0380,2024-09-05,wrong_item
R00432,O004537,P0279,2023-11-22,not_as_described
R00433,O004547,P0111,2024-01-15,wrong_item
R00434,O004551,P0273,2023-04-17,damaged
R00435,O004553,P0278,2024-08-19,not_as_described
R00436,O004556,P0209,2023-11-20,changed_mind
R00437,O004568,P0338,2024-10-12,not_as_described
R00438,O004593,P0299,2024-02-17,wrong_item
R00439,O004594,P0038,2023-01-26,not_as_described
R00440,O004596,P0487,2023-12-11,damaged
R00441,O004616,P0381,2023-03-18,changed_mind
R00442,O004618,P0474,2024-01-05,changed_mind
R00443,O004651,P0345,2023-05-18,defective
R00444,O004652,P0141,2024-08-10,changed_mind
R00445,O004671,P0347,2023-06-05,not_as_described
R00446,O004675,P0297,2023-03-20,wrong_item
R00447,O004676,P0191,2024-10-12,changed_mind
R00448,O004682,P0278,2023-09-12,wrong_item
R00449,O004684,P0164,2023-06-17,changed_mind
R00450,O004697,P0154,2023-02-01,changed_mind
R00451,O004704,P0318,2023-01-26,wrong_item
R00452,O004707,P0335,2024-08-27,defective
R00453,O004712,P0069,2023-04-06,wrong_item
R00454,O004714,P0092,2024-02-03,changed_mind
R00455,O004720,P0488,2023-04-01,changed_mind
R00456,O004744,P0187,2024-12-14,not_as_described
R00457,O004751,P0136,2023-12-20,damaged
R00458,O004756,P0354,2025-01-02,defective
R00459,O004760,P0391,2023-07-01,changed_mind
R00460,O004774,P0171,2024-09-28,changed_mind
R00461,O004775,P0363,2023-09-09,wrong_item
R00462,O004781,P0208,2024-11-04,defective
R00463,O004782,P0338,2023-01-23,not_as_described
R00464,O004788,P0099,2023-06-21,damaged
R00465,O004800,P0078,2024-08-03,defective
R00466,O004856,P0224,2024-06-15,damaged
R00467,O004859,P0210,2024-06-06,defective
R00468,O004881,P0090,2025-01-02,damaged
R00469,O004892,P0328,2024-08-01,defective
R00470,O004895,P0238,2023-12-22,defective
R00471,O004911,P0066,2023-09-04,changed_mind
R00472,O004932,P0192,2023-07-29,wrong_item
R00473,O004952,P0293,2023-12-12,damaged
R00474,O004953,P0180,2023-11-03,not_as_described
R00475,O004959,P0007,2024-09-30,wrong_item
R00476,O004961,P0495,2024-02-08,changed_mind
R00477,O004973,P0081,2024-08-11,changed_mind
R00478,O004975,P0409,2024-02-07,damaged
R00479,O004981,P0081,2023-07-03,changed_mind
R00480,O004992,P0206,2023-09-16,defective
R00481,O004993,P0358,2023-04-02,damaged
R00482,O004998,P0061,2023-07-12,damaged
R00483,O005003,P0207,2023-07-27,damaged
R00484,O005035,P0406,2024-05-21,changed_mind
R00485,O005044,P0226,2023-09-21,defective
R00486,O005048,P0168,2024-06-17,defective
R00487,O005054,P0324,2024-08-05,not_as_described
R00488,O005062,P0158,2023-04-28,not_as_described
R00489,O005069,P0057,2024-05-21,not_as_described
R00490,O005072,P0035,2024-03-29,wrong_item
R00491,O005087,P0440,2024-01-08,defective
R00492,O005104,P0042,2024-10-12,changed_mind
R00493,O005159,P0009,2024-09-07,not_as_described
R00494,O005174,P0434,2024-08-10,changed_mind
R00495,O005174,P0049,2024-08-08,changed_mind
R00496,O005203,P0414,2023-05-07,changed_mind
R00497,O005226,P0394,2025-01-05,changed_mind
R00498,O005232,P0272,2023-10-14,not_as_described
R00499,O005241,P0179,2024-05-20,not_as_described
R00500,O005256,P0380,2024-01-30,wrong_item
R00501,O005271,P0083,2023-05-22,defective
R00502,O005273,P0194,2023-04-25,changed_mind
R00503,O005275,P0277,2024-08-25,changed_mind
R00504,O005302,P0339,2023-11-29,not_as_described
R00505,O005353,P0367,2024-08-22,defective
R00506,O005373,P0284,2023-08-23,defective
R00507,O005383,P0014,2023-09-11,changed_mind
R00508,O005400,P0338,2023-07-15,defective
R00509,O005417,P0110,2024-03-24,defective
R00510,O005433,P0172,2024-10-25,defective
R00511,O005474,P0375,2024-09-08,defective
R00512,O005480,P0043,2024-07-29,damaged
R00513,O005487,P0122,2024-12-26,defective
R00514,O005488,P0267,2024-06-22,changed_mind
R00515,O005493,P0429,2023-10-03,wrong_item
R00516,O005496,P0390,2023-05-19,wrong_item
R00517,O005500,P0471,2024-12-04,changed_mind
R00518,O005532,P0212,2023-08-20,wrong_item
R00519,O005540,P0248,2023-11-01,wrong_item
R00520,O005557,P0391,2023-02-02,defective
R00521,O005559,P0186,2024-05-26,not_as_described
R00522,O005572,P0453,2024-11-10,changed_mind
R00523,O005574,P0131,2024-05-09,wrong_item
R00524,O005580,P0340,2025-01-09,wrong_item
R00525,O005584,P0488,2024-09-08,wrong_item
R00526,O005595,P0239,2023-03-03,damaged
R00527,O005619,P0341,2024-05-16,defective
R00528,O005643,P0235,2023-07-12,wrong_item
R00529,O005653,P0476,2024-03-02,changed_mind
R00530,O005661,P0207,2023-10-12,changed_mind
R00531,O005676,P0076,2024-08-02,changed_mind
R00532,O005682,P0091,2023-04-07,defective
R00533,O005688,P0441,2024-08-04,wrong_item
R00534,O005700,P0440,2024-05-24,wrong_item
R00535,O005708,P0241,2023-09-23,changed_mind
R00536,O005731,P0014,2023-11-07,changed_mind
R00537,O005749,P0137,2024-10-22,defective
R00538,O005751,P0005,2024-05-31,defective
R00539,O005757,P0400,2024-09-14,changed_mind
R00540,O005768,P0223,2023-12-13,defective
R00541,O005792,P0084,2023-02-21,not_as_described
R00542,O005797,P0178,2024-03-09,defective
R00543,O005814,P0104,2024-11-09,defective
R00544,O005825,P0248,2023-03-18,defective
R00545,O005826,P0360,2023-10-30,defective
R00546,O005839,P0027,2023-04-13,damaged
R00547,O005839,P0160,2023-04-02,changed_mind
R00548,O005839,P0435,2023-04-28,changed_mind
R00549,O005851,P0352,2023-09-28,changed_mind
R00550,O005855,P0268,2024-08-06,changed_mind
R00551,O005857,P0134,2024-01-21,changed_mind
R00552,O005882,P0434,2023-08-09,changed_mind
R00553,O005889,P0019,2024-04-12,defective
R00554,O005899,P0357,2023-12-07,damaged
R00555,O005904,P0394,2024-04-28,not_as_described
R00556,O005905,P0024,2023-07-05,changed_mind
R00557,O005953,P0102,2023-03-18,not_as_described
R00558,O005963,P0327,2024-10-30,damaged
R00559,O005965,P0161,2024-08-09,damaged
R00560,O005966,P0321,2024-10-31,not_as_described
R00561,O005978,P0248,2023-09-22,changed_mind
R00562,O005984,P0221,2024-02-04,wrong_item
R00563,O005990,P0006,2024-07-21,damaged
R00564,O006036,P0143,2024-06-20,changed_mind
R00565,O006048,P0182,2023-03-10,damaged
R00566,O006048,P0074,2023-03-04,not_as_described
R00567,O006062,P0051,2023-06-04,not_as_described
R00568,O006068,P0414,2023-03-14,damaged
R00569,O006078,P0284,2024-12-06,not_as_described
R00570,O006092,P0492,2023-03-13,changed_mind
R00571,O006098,P0459,2023-07-21,damaged
R00572,O006116,P0359,2023-02-02,defective
R00573,O006124,P0146,2024-04-13,wrong_item
R00574,O006137,P0010,2023-05-02,wrong_item
R00575,O006138,P0474,2024-05-31,wrong_item
R00576,O006158,P0207,2023-01-24,damaged
R00577,O006163,P0331,2023-06-30,defective
R00578,O006171,P0415,2024-11-28,not_as_described
R00579,O006174,P0084,2024-01-08,defective
R00580,O006194,P0326,2024-02-21,defective
R00581,O006197,P0166,2024-02-23,not_as_described
