order_id,customer_id,order_date,total,channel,region
O000143,C06574,2024-08-30,365.35,store,North
O000144,C04068,2024-01-14,121.62,store,North
O000145,C00330,2023-03-17,108.14,referral,East
O000146,C04205,2023-08-14,475.49,store,West
O000147,C03268,2023-06-10,57.07,store,West
O000148,C05839,2024-12-03,447.92,web,East
O000149,C00030,2024-06-11,462.95,store,South
O000150,C03759,2024-10-19,299.2,store,North
O000151,C07649,2024-09-17,217.92,web,West
O000152,C01246,2023-04-05,317.26,store,North
O000153,C07317,2024-10-18,294.36,store,West
O000154,C04084,2024-06-25,489.32,store,West
O000155,C06831,2023-06-18,207.9,store,East
O000156,C06265,2024-03-26,317.78,store,South
O000157,C02792,2023-10-13,286.04,store,East
O000158,C02641,2024-03-30,126.78,store,East
O000159,C03526,2023-01-21,443.67,store,South
O000160,C01214,2023-03-25,143.22,web,East
O000161,C00586,2023-12-08,322.32,store,East
O000162,C03671,2023-05-23,210.0,store,East
O000163,C04667,2024-10-07,431.19,store,South
O000164,C06697,2024-04-26,431.83,web,West
O000165,C06082,2023-01-25,113.92,store,South
O000166,C03449,2024-02-16,478.75,web,West
O000167,C06144,2024-01-17,115.41,store,East
O000168,C04788,2023-10-04,254.54,store,North
O000169,C05225,2023-12-17,364.24,web,East
O000170,C06234,2024-06-02,232.74,store,North
O000171,C05710,2023-11-22,299.58,store,South
O000172,C00621,2024-10-22,498.33,web,North
O000173,C06891,2024-10-25,166.13,store,South
O000174,C03436,2024-01-26,393.0,store,East
O000175,C00963,2024-08-29,346.52,store,East
O000176,C01065,2024-12-29,476.26,store,East
O000177,C00577,2024-06-26,95.17,store,South
O000178,C04211,2023-04-11,170.68,web,East
O000179,C01482,2024-11-30,394.76,store,West
O000180,C00859,2024-11-30,418.16,store,East
O000181,C07264,2023-07-13,372.2,web,East
O000182,C05595,2024-09-29,118.33,store,East
O000183,C05966,2023-01-26,198.7,referral,South
O000184,C03356,2023-05-20,151.12,store,West
O000185,C06518,2024-12-23,394.22,store,East
O000186,C01442,2023-02-16,452.17,store,West
O000187,C04378,2024-10-13,325.77,store,South
O000188,C04759,2023-11-16,120.32,store,West
O000189,C00769,2023-08-07,440.77,store,East
O000190,C04829,2024-11-09,246.13,web,East
O000191,C06211,2024-09-23,128.58,web,West
O000192,C02386,2024-08-27,329.23,store,West
O000193,C00414,2024-03-03,87.7,store,East
O000194,C04599,2023-06-19,319.64,referral,East
O000195,C06286,2023-12-22,487.2,store,South
O000196,C06764,2024-06-09,317.1,store,East
O000197,C00437,2023-03-23,435.6,store,East
O000198,C02539,2024-02-11,439.35,web,East
O000199,C05925,2023-02-13,125.09,store,East
O000200,C03666,2024-11-22,351.58,store,East
O000201,C05727,2023-11-23,290.33,store,North
O000202,C06507,2023-07-25,70.67,store,North
O000203,C05500,2024-11-04,133.41,referral,South
O000204,C01188,2023-09-17,126.55,referral,West
O000205,C00594,2024-10-07,329.01,web,North
O000206,C05278,2023-10-31,120.93,web,South
O000207,C01144,2023-08-29,186.97,store,East
O000208,C01811,2023-08-09,98.62,store,West
O000209,C06201,2024-05-19,77.56,web,East
O000210,C03226,2024-02-27,498.77,web,East
O000211,C05896,2023-01-19,228.26,store,South
O000212,C02073,2024-07-29,275.77,store,East
O000213,C07320,2023-07-06,66.4,web,East
O000214,C05459,2024-09-17,122.11,store,North
O000215,C04477,2023-08-23,319.5,web,West
O000216,C02033,2024-10-31,230.12,store,North
O000217,C04834,2023-07-09,325.48,store,East
O000218,C03055,2024-03-31,189.54,web,North
O000219,C03995,2023-01-04,271.2,referral,North
O000220,C07735,2024-05-07,459.74,store,East
O000221,C07706,2024-06-24,327.57,referral,East
O000222,C07408,2023-03-04,720.23,store,West
O000223,C01481,2023-05-10,466.38,web,West
O000224,C05943,2023-07-25,371.99,store,West
O000225,C04117,2024-04-04,341.26,web,East
O000226,C05888,2024-10-30,434.07,store,West
O000227,C04836,2024-05-04,361.77,web,South
O000228,C05445,2023-05-10,321.0,web,West
O000229,C03216,2024-06-08,157.99,web,West
O000230,C06460,2023-05-23,61.76,referral,South
O000231,C03392,2023-01-20,239.37,store,West
O000232,C01485,2023-01-27,418.81,store,North
O000233,C01989,2024-10-12,285.38,store,West
O000234,C02514,2023-04-29,87.75,referral,East
O000235,C02743,2024-04-19,248.25,store,West
O000236,C00343,2024-12-18,322.14,store,West
O000237,C01966,2023-07-31,156.71,store,East
O000238,C01918,2024-05-07,87.82,store,West
O000239,C03335,2024-10-24,301.05,store,West
O000240,C04183,2024-08-16,89.53,referral,East
O000241,C05829,2024-02-27,55.33,store,West
O000242,C02829,2023-04-24,383.19,store,North
O000243,C03117,2024-12-10,256.24,web,North
O000244,C00920,2024-07-21,68.69,store,East
O000245,C01179,2024-11-13,318.7,store,East
O000246,C05024,2024-02-08,55.96,web,South
O000247,C05287,2024-01-12,196.9,store,North
O000248,C00136,2023-06-06,127.06,web,West
O000249,C06282,2024-01-20,227.95,web,East
O000250,C00024,2024-04-23,56.48,web,East
O000251,C02561,2024-04-08,487.2,store,West
O000252,C04453,2024-03-30,116.65,store,West
O000253,C02790,2024-04-20,481.15,web,East
O000254,C07101,2024-10-02,277.78,store,East
O000255,C03726,2023-08-10,80.42,store,East
O000256,C00524,2023-08-03,445.93,web,East
O000257,C03525,2024-08-06,236.33,store,East
O000258,C05443,2024-12-02,116.12,store,North
O000259,C07522,2024-12-04,171.76,store,North
O000260,C01287,2023-12-09,182.06,store,East
O000261,C04748,2024-09-17,323.83,web,South
O000262,C04807,2024-11-05,487.35,referral,West
O000263,C05202,2023-09-26,133.71,web,East
O000264,C06286,2024-09-03,145.76,store,South
O000265,C05315,2024-05-12,486.18,store,East
O000266,C02831,2024-08-10,148.92,store,West
O000267,C05202,2024-03-05,153.53,web,East
O000268,C04374,2023-04-27,496.21,web,West
O000269,C02704,2024-10-19,344.66,store,North
O000270,C04419,2023-08-02,188.32,store,South
O000271,C05470,2024-07-21,158.95,web,East
O000272,C01884,2023-12-27,265.14,store,North
O000273,C04292,2023-09-28,194.21,store,East
O000274,C01557,2024-08-01,54.11,web,West
O000275,C00788,2024-01-15,81.42,store,South
O000276,C04881,2024-02-25,292.76,web,South
O000277,C01818,2024-12-26,168.22,store,East
O000278,C06902,2023-07-02,473.91,store,West
O000279,C00318,2023-06-05,362.87,store,South
O000280,C04050,2023-03-28,490.01,referral,West
O000281,C04055,2023-10-07,412.29,store,South
O000282,C00216,2023-05-08,191.1,store,East
O000283,C02829,2023-06-26,385.05,store,North
O000284,C01875,2023-01-28,259.1,store,East
O000285,C03437,2023-05-12,281.13,web,East
O000286,C05998,2023-11-21,288.4,store,East
O000287,C06999,2023-09-17,357.95,store,South
O000288,C07646,2024-06-26,212.54,store,North
O000289,C01142,2024-09-21,402.88,referral,West
O000290,C07416,2023-10-23,128.16,store,South
O000291,C03360,2023-04-09,210.83,web,East
O000292,C06640,2023-08-13,354.17,web,East
O000293,C06882,2023-12-30,430.61,store,West
O000294,C04729,2023-10-21,435.29,referral,East
O000295,C06565,2024-02-13,201.33,web,East
O000296,C05018,2023-12-18,239.6,store,East
O000297,C03704,2024-07-30,167.96,store,East
O000298,C06470,2023-01-12,329.23,store,West
O000299,C00868,2023-06-23,218.38,web,East
O000300,C05962,2023-03-24,467.36,web,East
O000301,C00496,2023-08-03,207.7,web,North
O000302,C07879,2024-12-18,354.74,store,West
O000303,C02682,2024-05-24,349.92,store,North
O000304,C05351,2024-09-18,272.3,web,North
O000305,C00572,2023-08-25,59.52,web,East
O000306,C00447,2023-11-08,181.85,store,East
O000307,C01798,2024-05-02,368.01,store,East
O000308,C03733,2024-08-15,234.76,web,East
O000309,C07897,2023-04-14,81.26,store,South
O000310,C03118,2024-12-20,454.04,web,East
O000311,C02026,2023-09-08,313.49,store,West
O000312,C06117,2023-12-18,87.17,store,East
O000313,C05217,2023-01-24,70.82,store,East
O000314,C02842,2023-07-20,93.0,referral,East
O000315,C06896,2023-08-30,499.51,web,West
O000316,C06751,2023-02-13,176.97,store,West
O000317,C05570,2023-12-01,366.26,store,North
O000318,C07425,2023-04-30,125.28,store,North
O000319,C07886,2024-12-16,167.17,store,West
O000320,C05462,2023-01-26,53.2,store,West
O000321,C07227,2024-02-19,435.35,web,West
O000322,C06681,2024-06-26,496.29,store,East
O000323,C04165,2023-06-25,220.03,web,East
O000324,C06427,2024-11-26,145.71,store,South
O000325,C02196,2024-01-18,123.47,web,North
O000326,C06254,2023-04-16,167.48,store,South
O000327,C06095,2023-05-22,222.47,store,South
O000328,C01630,2024-09-08,375.11,store,East
O000329,C02868,2023-10-24,369.49,store,South
O000330,C00433,2024-10-30,281.22,store,West
O000331,C02745,2023-04-22,227.97,web,East
O000332,C02024,2024-11-26,279.72,referral,West
O000333,C02119,2023-08-01,303.42,store,West
O000334,C00996,2023-10-05,326.64,web,East
O000335,C07666,2024-08-04,343.27,store,South
O000336,C05197,2024-05-19,340.42,store,North
O000337,C03797,2023-02-11,144.64,store,West
O000338,C04736,2024-12-12,266.61,web,East
O000339,C02276,2023-12-22,201.07,store,East
O000340,C03596,2024-08-30,317.8,web,South
O000341,C05536,2023-06-05,274.26,store,West
O000342,C04279,2024-09-02,140.07,store,South
O000343,C05380,2023-05-28,355.98,referral,South
O000344,C03724,2023-10-17,58.74,web,East
O000345,C04397,2023-02-27,191.05,web,East
O000346,C07378,2024-10-22,403.09,store,South
O000347,C01696,2024-09-09,395.07,store,East
O000348,C06933,2024-04-20,477.33,store,East
O000349,C06326,2024-04-07,314.1,web,North
O000350,C04385,2023-04-29,265.69,store,East
O000351,C04995,2023-10-28,350.07,web,East
O000352,C04519,2024-01-22,430.24,referral,East
O000353,C00129,2023-03-31,319.85,referral,North
O000354,C04764,2024-06-23,384.84,store,East
O000355,C07661,2023-02-15,191.1,web,East
O000356,C05952,2024-06-13,197.14,store,South
O000357,C05704,2023-02-02,81.76,web,East
O000358,C03516,2023-01-11,171.21,store,East
O000359,C03233,2023-01-31,270.99,web,West
O000360,C01159,2024-08-29,348.83,store,South
O000361,C00343,2023-10-25,296.41,store,West
O000362,C03743,2024-05-16,373.8,web,East
O000363,C06224,2023-10-15,254.19,store,East
O000364,C01876,2023-03-16,280.85,web,West
O000365,C07776,2024-12-08,260.42,web,East
O000366,C05215,2023-02-12,320.72,store,West
O000367,C07144,2024-10-17,202.6,store,East
O000368,C06815,2023-06-17,325.98,web,East
O000369,C05585,2023-04-21,232.99,web,West
O000370,C02575,2024-03-26,319.62,web,North
O000371,C02005,2023-02-01,204.22,store,East
O000372,C00149,2024-04-28,123.23,web,East
O000373,C07887,2023-01-14,137.71,web,South
O000374,C00413,2023-11-17,115.14,store,East
O000375,C07114,2024-01-24,121.46,store,West
O000376,C00981,2024-12-25,328.79,store,South
O000377,C05343,2023-10-28,445.32,web,East
O000378,C06752,2024-08-21,446.75,referral,West
O000379,C06691,2023-02-14,377.99,store,South
O000380,C00963,2024-04-11,294.62,store,East
O000381,C04085,2023-03-18,258.23,web,West
O000382,C01882,2023-04-04,107.15,store,East
O000383,C02171,2023-11-03,139.47,store,East
O000384,C05360,2023-07-23,473.4,store,West
O000385,C01443,2024-01-14,194.26,store,West
O000386,C06139,2024-12-27,314.96,store,South
O000387,C03121,2024-08-08,327.59,web,South
O000388,C05738,2023-04-09,147.81,store,South
O000389,C04743,2023-11-28,391.65,store,East
O000390,C06379,2024-12-19,93.31,store,East
O000391,C00691,2023-03-31,171.0,store,East
O000392,C03944,2024-01-15,300.77,store,North
O000393,C03759,2023-01-12,268.63,store,North
O000394,C07403,2024-10-25,379.85,web,South
O000395,C07981,2024-03-21,481.38,web,South
O000396,C02422,2023-03-16,161.14,web,East
O000397,C05043,2024-08-03,65.86,referral,North
O000398,C04814,2023-04-04,198.52,web,West
O000399,C00602,2023-08-10,420.67,store,South
O000400,C04779,2023-06-10,381.89,store,South
O000401,C06375,2024-05-30,280.99,store,North
O000402,C05953,2023-02-25,253.17,store,North
O000403,C07889,2023-09-01,220.98,store,East
O000404,C03177,2023-06-26,145.82,web,East
O000405,C01587,2024-04-06,203.47,store,West
O000406,C04211,2024-01-17,136.84,web,East
O000407,C07278,2024-05-04,79.41,store,South
O000408,C00412,2023-08-04,449.59,store,North
O000409,C07751,2024-09-12,159.61,store,East
O000410,C02242,2023-07-27,93.66,web,West
O000411,C04234,2023-05-12,275.42,store,West
O000412,C05397,2024-09-21,162.69,store,East
O000413,C07070,2023-01-22,231.65,web,North
O000414,C04515,2023-10-16,483.53,store,South
O000415,C07530,2023-05-19,134.21,store,East
O000416,C07974,2024-09-14,188.79,store,East
O000417,C02993,2023-12-10,281.12,store,South
O000418,C07148,2024-06-18,241.39,web,South
O000419,C04652,2023-08-05,94.41,store,West
O000420,C00172,2023-11-01,385.18,store,South
O000421,C01510,2024-09-11,261.68,store,West
O000422,C02162,2024-11-08,166.47,store,East
O000423,C01591,2023-08-09,396.53,web,East
O000424,C01567,2024-03-17,222.08,store,East
O000425,C00701,2023-11-21,193.24,store,North
O000426,C05546,2023-02-18,388.86,store,South
O000427,C06283,2023-01-27,99.8,store,South
O000428,C02440,2023-07-08,458.92,store,East
O000429,C02902,2024-01-18,71.13,web,East
O000430,C02898,2024-02-26,112.97,web,West
O000431,C06029,2024-03-22,154.44,store,West
O000432,C07596,2023-05-19,861.87,store,West
O000433,C01329,2024-10-21,359.18,store,East
O000434,C04846,2024-06-11,497.84,referral,West
O000435,C06262,2024-02-29,296.14,web,South
O000436,C05582,2023-12-13,422.79,store,West
O000437,C01963,2023-06-18,253.29,web,East
O000438,C02483,2024-08-29,339.06,store,South
O000439,C06192,2024-06-06,77.4,web,West
O000440,C05942,2024-01-10,419.9,store,West
O000441,C03738,2023-07-18,343.11,store,East
O000442,C05353,2023-05-23,332.98,referral,North
O000443,C07790,2024-10-13,149.16,web,North
O000444,C06646,2023-10-10,232.13,web,East
O000445,C01088,2023-03-11,153.12,web,North
O000446,C03161,2023-08-10,366.97,store,West
O000447,C02694,2024-04-18,497.96,web,West
O000448,C06162,2023-02-08,136.89,web,West
O000449,C04095,2023-11-19,105.77,store,East
O000450,C05690,2023-06-21,201.84,web,South
O000451,C05448,2024-10-09,277.24,web,East
O000452,C06611,2024-12-24,366.04,web,East
O000453,C04292,2023-06-24,273.26,store,East
O000454,C01615,2024-12-24,493.45,store,North
O000455,C02109,2023-06-11,383.27,web,East
O000456,C00126,2024-08-13,134.04,web,West
O000457,C01970,2023-07-07,182.18,web,West
O000458,C02352,2024-02-09,411.35,store,South
O000459,C01117,2024-02-06,445.19,web,East
O000460,C03700,2023-01-05,289.03,store,West
O000461,C07724,2024-08-20,252.76,store,West
O000462,C04889,2024-09-08,118.72,store,North
O000463,C02239,2024-08-07,160.83,web,South
O000464,C05906,2024-06-05,366.71,store,East
O000465,C04590,2023-04-05,72.06,web,South
O000466,C00581,2023-02-24,322.43,store,West
O000467,C00587,2024-06-01,151.96,web,North
O000468,C00469,2023-12-26,149.9,store,West
O000469,C07044,2023-08-25,239.45,store,East
O000470,C02246,2023-02-01,253.56,store,North
O000471,C07695,2023-11-24,342.08,store,West
O000472,C02779,2023-01-08,117.34,store,South
O000473,C00230,2023-09-05,204.7,store,East
O000474,C07092,2023-09-15,122.67,web,East
O000475,C00052,2024-09-22,288.65,web,West
O000476,C04943,2024-07-03,136.55,store,West
O000477,C00789,2023-09-17,445.99,store,West
O000478,C04704,2024-07-11,75.34,referral,South
O000479,C07345,2023-12-22,305.2,store,South
O000480,C04158,2023-10-31,368.21,store,West
O000481,C07084,2023-08-06,453.67,web,West
O000482,C04856,2023-12-26,160.62,web,West
O000483,C06244,2024-03-30,355.08,store,East
O000484,C03074,2023-08-05,369.35,web,West
O000485,C05691,2023-02-03,308.84,referral,East
O000486,C04793,2024-10-28,433.05,store,South
O000487,C02889,2023-08-23,255.74,referral,South
O000488,C07440,2024-06-11,371.6,store,West
O000489,C04362,2024-06-07,132.84,web,East
O000490,C00992,2023-01-21,486.46,web,West
O000491,C02223,2023-11-20,326.83,store,North
O000492,C06152,2023-09-05,380.65,store,North
O000493,C00078,2023-08-30,185.4,web,East
O000494,C03746,2023-07-10,241.21,store,West
O000495,C06558,2024-03-31,129.62,store,East
O000496,C06787,2024-12-12,477.86,store,South
O000497,C07302,2023-11-21,457.58,web,East
O000498,C04808,2024-05-15,118.14,store,East
O000499,C00532,2023-05-04,329.84,store,West
O000500,C07037,2024-08-31,289.41,store,East
O000501,C04194,2024-07-18,103.67,store,East
O000502,C07599,2023-01-17,313.02,web,South
O000503,C04594,2024-03-27,169.56,store,East
O000504,C03444,2024-01-23,338.49,web,East
O000505,C03679,2023-04-17,85.39,web,East
O000506,C02136,2023-10-22,123.48,store,West
O000507,C00385,2024-06-28,287.4,store,West
O000508,C01707,2024-04-21,362.75,store,West
O000509,C04946,2023-10-11,312.69,web,East
O000510,C05503,2023-08-18,190.78,store,West
O000511,C05652,2023-01-22,311.97,store,West
O000512,C02680,2023-11-07,173.43,store,West
O000513,C01819,2023-12-10,481.56,store,East
O000514,C04154,2023-08-13,122.48,store,South
O000515,C02417,2024-07-10,324.64,web,South
O000516,C07215,2023-12-20,257.05,web,East
O000517,C03745,2024-03-16,205.02,store,South
O000518,C05089,2023-03-01,272.71,web,South
O000519,C07550,2024-03-31,103.67,web,South
O000520,C06801,2024-02-14,243.33,web,North
O000521,C00085,2024-04-30,454.54,store,South
O000522,C02846,2024-10-14,118.77,store,North
O000523,C02561,2023-06-22,302.5,store,West
O000524,C06884,2023-09-11,401.41,store,East
O000525,C03747,2024-01-17,418.84,store,West
O000526,C02380,2024-07-07,127.89,store,South
O000527,C05096,2024-02-24,382.91,web,North
O000528,C00923,2024-01-10,392.9,store,East
O000529,C03908,2024-02-12,296.04,store,East
O000530,C01880,2024-01-13,240.5,web,East
O000531,C03617,2024-10-08,77.72,store,East
O000532,C01795,2024-08-14,53.79,referral,East
O000533,C06613,2023-12-21,312.24,store,South
O000534,C02784,2024-09-23,212.56,store,South
O000535,C00603,2024-02-04,176.13,store,North
O000536,C02545,2024-10-06,101.43,web,North
O000537,C05510,2023-08-05,469.76,web,East
O000538,C06232,2024-05-31,132.13,web,South
O000539,C04829,2024-04-28,347.74,web,East
O000540,C00342,2023-03-14,67.49,store,East
O000541,C05492,2023-12-13,345.97,store,West
O000542,C01357,2024-06-11,344.03,web,South
O000543,C06865,2023-10-21,457.76,web,South
O000544,C02056,2024-03-05,316.54,store,East
O000545,C02312,2024-05-25,61.4,store,West
O000546,C01176,2023-06-14,481.39,store,West
O000547,C01554,2023-06-07,94.32,store,East
O000548,C07672,2023-04-03,157.81,store,South
O000549,C07120,2024-04-15,384.53,store,East
O000550,C04812,2024-01-17,366.06,web,East
O000551,C01404,2023-04-27,374.78,store,East
O000552,C00872,2024-12-04,238.81,referral,West
O000553,C02160,2024-07-03,221.69,store,South
O000554,C03738,2024-09-16,314.88,store,East
O000555,C07630,2023-08-19,172.64,store,West
O000556,C06534,2023-12-15,138.98,store,East
O000557,C01373,2023-11-13,121.56,web,West
O000558,C06253,2023-05-25,223.33,store,East
O000559,C02344,2023-04-26,453.76,store,South
O000560,C06624,2023-03-25,466.11,web,North
O000561,C07823,2024-12-04,451.6,store,South
O000562,C00635,2024-08-22,141.85,web,West
O000563,C02296,2023-01-19,317.25,store,North
O000564,C06290,2024-05-22,342.82,web,West
O000565,C07291,2023-12-14,257.67,store,East
O000566,C00876,2023-11-23,306.72,store,West
O000567,C05856,2023-05-21,106.35,store,North
O000568,C00762,2024-12-15,454.55,referral,South
O000569,C07586,2023-06-17,110.66,web,West
O000570,C06300,2023-03-16,425.61,store,South
O000571,C03552,2023-11-23,73.45,web,South
O000572,C06900,2023-02-03,230.9,store,East
O000573,C03251,2023-03-16,137.75,store,East
O000574,C00028,2024-04-11,121.58,store,West
O000575,C00170,2023-09-19,353.34,store,West
O000576,C00984,2023-02-08,449.72,store,East
O000577,C07142,2023-04-14,405.61,web,North
O000578,C05395,2024-06-22,180.93,store,West
O000579,C07106,2023-11-11,323.36,store,North
O000580,C06420,2023-09-03,182.57,web,West
O000581,C02722,2023-03-04,90.77,store,West
O000582,C01055,2023-08-19,102.47,web,East
O000583,C03284,2023-03-16,127.95,store,West
O000584,C03243,2024-07-02,347.36,web,West
O000585,C01381,2023-05-16,110.31,store,West
O000586,C00288,2023-05-31,309.09,store,West
O000587,C04064,2024-10-10,50.57,store,East
O000588,C02277,2023-05-11,379.21,web,East
O000589,C02073,2024-09-08,166.23,store,East
O000590,C05217,2024-01-21,306.09,store,East
O000591,C06138,2023-05-15,206.11,web,West
O000592,C05710,2023-02-07,290.36,store,South
O000593,C02266,2023-01-07,137.26,store,West
O000594,C05815,2023-07-18,328.59,store,East
O000595,C04908,2024-11-22,446.96,store,South
O000596,C06307,2024-09-19,310.41,store,West
O000597,C00086,2024-08-01,248.97,store,South
O000598,C01801,2023-12-26,263.12,referral,South
O000599,C04351,2024-01-29,232.02,web,South
O000600,C03387,2023-02-06,155.99,web,West
O000601,C01342,2023-08-23,220.97,store,East
O000602,C07946,2024-06-01,239.74,store,East
O000603,C05545,2023-04-25,359.98,referral,West
O000604,C00677,2023-06-22,193.28,store,West
O000605,C05312,2023-03-15,219.52,store,East
